Económica;Explicación;33.04 ;33.05 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;4.058,87;12.875,15;16.934,02;16.934.020,00
10;Altos cargos;—;71,16;71,16;71.160,00
12;Funcionarios;2.778,17;10.682,45;13.460,62;13.460.620,00
13;Laborales;660;388,88;1.048,88;1.048.880,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;620,7;1.732,66;2.353,36;2.353.360,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.000,00;16.976,86;21.976,86;21.976.860,00
21;Reparaciones, mantenimiento y conservación;—;4.260,45;4.260,45;4.260.450,00
22;Material, suministros y otros;5.000,00;12.639,71;17.639,71;17.639.710,00
23;Indemnizaciones por razón del servicio;—;76,7;76,7;76.700,00
4;TRANSFERENCIAS CORRIENTES;187,84;—;187,84;187.840,00
44;A entidades públicas estatales;187,84;—;187,84;187.840,00
6;INVERSIONES REALES;4.900,00;17.607,34;22.507,34;22.507.340,00
62;Inversión nueva operativa;—;3.122,09;3.122,09;3.122.090,00
63;Inversión de reposición operativa;—;1.227,97;1.227,97;1.227.970,00
64;Inversiones de carácter inmaterial;4.900,00;13.257,28;18.157,28;18.157.280,00
7;TRANSFERENCIAS DE CAPITAL;11.100,00;—;11.100,00;11.100.000,00
74;A entidades públicas estatales;500;—;500;500.000,00
75;A Comunidades Autónomas;800;—;800;800.000,00
76;A Entidades Locales;500;—;500;500.000,00
77;A empresas privadas;5.800,00;—;5.800,00;5.800.000,00
78;A familias e instituciones sin fines de lucro;3.500,00;—;3.500,00;3.500.000,00
8;ACTIVOS FINANCIEROS;16.000,00;—;16.000,00;16.000.000,00
83;Préstamos fuera del sector público;1.000,00;—;1.000,00;1.000.000,00
87;Aportaciones patrimoniales;15.000,00;—;15.000,00;15.000.000,00
—;TOTAL PROGRAMA 467G;41.246,71;47.459,35;88.706,06;88.706.060,00
