;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 921X Evaluación de la transparencia de la actividad pública;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;33.302;;Total;
1;GASTOS DE PERSONAL;2.463,70;;2.463,70;
10; Altos cargos;113,90;;113,90;
12; Funcionarios;1.829,17;;1.829,17;
15; Incentivos al rendimiento;200,71;;200,71;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;319,92;;319,92;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;824,68;;824,68;
20; Arrendamientos y cánones;220,00;;220,00;
21; Reparaciones, mantenimiento y conservación;7,00;;7,00;
22; Material, suministros y otros;551,48;;551,48;
23; Indemnizaciones por razón del servicio;27,00;;27,00;
24; Gastos de publicaciones;19,20;;19,20;
3;GASTOS FINANCIEROS;1,00;;1,00;
35; Intereses de demora y otros gastos financieros;1,00;;1,00;
4;TRANSFERENCIAS CORRIENTES;10,00;;10,00;
48; A familias e instituciones sin fines de lucro;10,00;;10,00;
6;INVERSIONES REALES;77,00;;77,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;27,00;;27,00;
64; Gastos de inversiones de carácter inmaterial;50,00;;50,00;
8;ACTIVOS FINANCIEROS;3,00;;3,00;
83; Concesión de préstamos fuera del Sector Público;3,00;;3,00;
;TOTAL;3.379,38;;3.379,38;
;;



