Económica;Explicación;33.101;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;23.166,33;23.166,33;23.166.330,00
15;Incentivos al rendimiento;633,96;633,96;633.960,00
150;Productividad;625,97;625,97;625.970,00
151;Gratificaciones;7,99;7,99;7.990,00
16000;Seguridad Social;3.960,42;3.960,42;3.960.420,00
16200;Formación y perfeccionamiento del personal;28,7;28,7;28.700,00
16201;Economatos y comedores;42,44;42,44;42.440,00
16204;Acción social;15,97;15,97;15.970,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.070,46;27.070,46;27.070.460,00
202;Arrendamientos de edificios y otras construcciones;120;120;120.000,00
22502;Locales;18;18;18.000,00
22601;Atenciones protocolarias y representativas;2,34;2,34;2.340,00
3;GASTOS FINANCIEROS;0,82;0,82;820
35;Intereses de demora y otros gastos financieros;0,82;0,82;820
359;Otros gastos financieros;0,82;0,82;820
4;TRANSFERENCIAS CORRIENTES;63.616,43;63.616,43;63.616.430,00
45;A Comunidades Autónomas;53.587,34;53.587,34;53.587.340,00
450;Formación para el Empleo en las Administraciones Públicas;39.915,63;39.915,63;39.915.630,00
45000–45017;Detalle por Comunidad Autónoma;—;—;—
451;Formación para el Empleo en las entidades locales;13.671,71;13.671,71;13.671.710,00
46;A Entidades Locales;20;20;20.000,00
461;Ayuntamiento de Valdeavellano de Tera – Plan Soria;20;20;20.000,00
48;A familias e instituciones sin fines de lucro;9.858,09;9.858,09;9.858.090,00
480;Becas, ayudas y premios de estudios e investigación;912;912;912.000,00
481;A Organizaciones Sindicales para formación en el empleo;8.309,44;8.309,44;8.309.440,00
483;Becas Fulbright;64;64;64.000,00
488;A la FEMP – Formación para el Empleo;569,65;569,65;569.650,00
489;Foro de la Contratación Socialmente Responsable;3;3;3.000,00
49;Al exterior;151;151;151.000,00
490;Cuotas al C.L.A.D.;80;80;80.000,00
493;Instituto Europeo de Administración Pública;55;55;55.000,00
494;Instituto Internacional de Ciencias Administrativas;16;16;16.000,00
6;INVERSIONES REALES;3.394,49;3.394,49;3.394.490,00
8;ACTIVOS FINANCIEROS;50;50;50.000,00
83;Concesión de préstamos fuera del Sector Público;50;50;50.000,00
830;Préstamos a corto plazo;50;50;50.000,00
—;TOTAL PROGRAMA 921O;117.298,53;117.298,53;117.298.530,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
 ; ;;;
 ; ;;;
;;TOTAL Formación del personal de las Administraciones Públicas;;
