Económica;Explicación;33.06 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;15.384,50;15.384,50;15.384.500,00
10;Altos cargos;263,42;263,42;263.420,00
11;Personal eventual;253,4;253,4;253.400,00
12;Funcionarios;10.630,58;10.630,58;10.630.580,00
13;Laborales;105,52;105,52;105.520,00
15;Incentivos al rendimiento;3.079,44;3.079,44;3.079.440,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.052,14;1.052,14;1.052.140,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.005,72;1.005,72;1.005.720,00
20;Arrendamientos y cánones;180;180;180.000,00
21;Reparaciones, mantenimiento y conservación;5,03;5,03;5.030,00
22;Material, suministros y otros;567,94;567,94;567.940,00
23;Indemnizaciones por razón del servicio;252,75;252,75;252.750,00
4;TRANSFERENCIAS CORRIENTES;1.341,19;1.341,19;1.341.190,00
47;A empresas privadas;13,24;13,24;13.240,00
48;A familias e instituciones sin fines de lucro;1.233,95;1.233,95;1.233.950,00
49;Al exterior;94;94;94.000,00
6;INVERSIONES REALES;876;876;876.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;10;10;10.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;70;70;70.000,00
64;Gastos de inversiones de carácter inmaterial;796;796;796.000,00
—;TOTAL PROGRAMA 921N;18.607,41;18.607,41;18.607.410,00
