;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 921N Dirección y organización de la Administración Pública;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;33.06;;Total;
1;GASTOS DE PERSONAL;15.384,50;;15.384,50;
10; Altos cargos;263,42;;263,42;
11; Personal eventual;253,40;;253,40;
12; Funcionarios;10.630,58;;10.630,58;
13; Laborales;105,52;;105,52;
15; Incentivos al rendimiento;3.079,44;;3.079,44;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.052,14;;1.052,14;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.005,72;;1.005,72;
20; Arrendamientos y cánones;180,00;;180,00;
21; Reparaciones, mantenimiento y conservación;5,03;;5,03;
22; Material, suministros y otros;567,94;;567,94;
23; Indemnizaciones por razón del servicio;252,75;;252,75;
4;TRANSFERENCIAS CORRIENTES;1.341,19;;1.341,19;
47; A empresas privadas;13,24;;13,24;
48; A familias e instituciones sin fines de lucro;1.233,95;;1.233,95;
49; Al exterior;94,00;;94,00;
6;INVERSIONES REALES;876,00;;876,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;10,00;;10,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;70,00;;70,00;
64; Gastos de inversiones de carácter inmaterial;796,00;;796,00;
;TOTAL;18.607,41;;18.607,41;
;;



