;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 46MA C13.I01 Emprendimiento. I+D+i+Digitalización;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;33.50;;Total;
6;INVERSIONES REALES;20.000,00;;20.000,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;20.000,00;;20.000,00;
7;TRANSFERENCIAS DE CAPITAL;28.000,00;;28.000,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;18.000,00;;18.000,00;
75; A Comunidades Autónomas;3.000,00;;3.000,00;
76; A Entidades Locales;3.500,00;;3.500,00;
78; A familias e instituciones sin fines de lucro;3.500,00;;3.500,00;
8;ACTIVOS FINANCIEROS;12.000,00;;12.000,00;
82; Concesión de préstamos al Sector Público;12.000,00;;12.000,00;
;TOTAL;60.000,00;;60.000,00;
;;



