;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 461N Dirección y Servicios Generales de Transformación Digital y de la Función Pública;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;33.01;33.02;33.03;33.04;;Total;
1;GASTOS DE PERSONAL;10.094,98;1.760,34;2.046,31;3.536,03;;17.437,66;
10; Altos cargos;208,56;61,04;80,30;141,34;;491,24;
11; Personal eventual;521,72;;270,97;262,18;;1.054,87;
12; Funcionarios;6.443,18;1.451,53;445,77;937,41;;9.277,89;
13; Laborales;229,44;46,28;;;;275,72;
15; Incentivos al rendimiento;1.746,54;;1.090,65;2.042,18;;4.879,37;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;945,54;201,49;158,62;152,92;;1.458,57;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.613,85;56,00;1.958,53;924,08;;17.552,46;
20; Arrendamientos y cánones;6.961,62;;120,00;;;7.081,62;
21; Reparaciones, mantenimiento y conservación;342,62;;;;;342,62;
22; Material, suministros y otros;7.163,61;28,00;1.500,65;586,58;;9.278,84;
23; Indemnizaciones por razón del servicio;146,00;10,00;337,88;337,50;;831,38;
24; Gastos de publicaciones;;18,00;;;;18,00;
6;INVERSIONES REALES;2.254,08;;;;;2.254,08;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;203,28;;;;;203,28;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;584,54;;;;;584,54;
64; Gastos de inversiones de carácter inmaterial;1.466,26;;;;;1.466,26;
8;ACTIVOS FINANCIEROS;12,22;;;;;12,22;
83; Concesión de préstamos fuera del Sector Público;12,22;;;;;12,22;
;TOTAL;26.975,13;1.816,34;4.004,84;4.460,11;;37.256,42;
;;



