Económica;Explicación;21.01;21.02;21.03;21.04;21.05;21.06;21.07;21.08;21.09;21.10;21.11;Total (miles €);Total (€)
10;Altos cargos;208,53;61,02;61,02;71,15;61,02;61,02;61,02;61,02;71,15;61,02;61,02;838,99;838.990,00
11;Personal eventual;519,82;;;;;;;;;;;519,82;519.820,00
12;Funcionarios;14.827,27;2.573,03;6.677,38;1.584,77;4.546,44;5.053,66;5.551,26;4.856,30;1.483,12;2.002,09;4.212,99;53.368,31;53.368.310,00
13;Laborales;702,04;248,16;1.952,39;;;179,46;34,05;203,29;65,96;;37,58;3.422,93;3.422.930,00
15;Incentivos al rendimiento;7.398,21;;;;;;;;;;;7.398,21;7.398.210,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.250,42;354,18;1.226,79;189,55;409,5;793,09;831,68;645,35;210,5;249,97;830,5;7.991,53;7.991.530,00
20;Arrendamientos y cánones;1.570,00;;;;;;;;;;;1.570,00;1.570.000,00
21;Reparaciones, mantenimiento y conservación;4.083,71;;;;;;;;;;;4.083,71;4.083.710,00
22;Material, suministros y otros;12.462,38;;;;;;;;;;;12.462,38;12.462.380,00
23;Indemnizaciones por razón del servicio;2.425,83;;;;;;;;;;;2.425,83;2.425.830,00
24;Gastos de publicaciones;320;;;;;;;;;;;320;320.000,00
35;Intereses de demora y otros gastos financieros;23,17;;;16,18;;;;;;;;39,35;39.350,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;1,50;;;;500;;;;;;300;801,50;801.500,00
47;A empresas privadas;10.073,32;;;;445,6;;180;;;;;10.698,92;10.698.920,00
48;A familias e instituciones sin fines de lucro;7.208,99;33;;70;150;140;250;6.441,40;;119,56;698,24;15.111,19;15.111.190,00
49;Al exterior;2.219,94;;;30.408,84;;;;;;;;32.628,78;32.628.780,00
60;Inversión nueva en infraestructuras y bienes de uso general;;;;;;;;43.532,47;;;;43.532,47;43.532.470,00
61;Inversión de reposición en infraestructuras y bienes de uso general;;;;;;;;9.859,00;;;;9.859,00;9.859.000,00
62;Inversión nueva asociada al funcionamiento operativo;216,46;65;;;525;500;;;6;5;;1.317,46;1.317.460,00
63;Inversión de reposición asociada al funcionamiento operativo;2.981,98;;3.595,00;;100;125;950;;822;150;;8.723,98;8.723.980,00
64;Gastos de inversiones de carácter inmaterial;6.699,00;90;5.196,36;4.474,35;7.354,71;18.231,80;23.213,51;9.290,57;;20.810,00;22.424,00;117.784,30;117.784.300,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;;;;;;;;;;;514;514,00;514.000,00
75;A Comunidades Autónomas;101,00;;;30.302,00;21.581,47;200;158.710,01;;;13.100,00;;223.994,48;223.994.480,00
76;A Entidades Locales;;;;;;;198;;;;;198,00;198.000,00
77;A empresas privadas;4.100,00;;;;9.550,00;;600,00;;;;20.010,83;34.260,83;34.260.830,00
78;A familias e instituciones sin fines de lucro;;;;5.035,00;;2.015,73;591,15;;300;;;7.941,88;7.941.880,00
82;Concesión de préstamos al Sector Público;25.000,00;;;;;;15.000,00;;;;;40.000,00;40.000.000,00
83;Concesión de préstamos fuera del Sector Público;124,20;;;;;;;;;;;124,20;124.200,00
84;Constitución de depósitos y fianzas;10,00;;;;;;;;;;;10,00;10.000,00
85;Adquisición de acciones y participaciones del Sector Público;;;;;;;96.872,10;;;;;96.872,10;96.872.100,00
;TOTAL CONSOLIDADO;105.527,77;3.424,39;18.708,94;36.814,84;58.454,27;46.690,50;34.387,25;346.260,66;1.830,73;24.370,64;62.344,16;738.814,15;738.814.150,00
;4 TRANSFERENCIAS CORRIENTES;280.163,40;;;20.675,22;;;;;;;;300.838,62;300.838.620,00
;41 A Organismos Autónomos;280.163,40;;;20.675,22;;;;;;;;300.838,62;300.838.620,00
;7 TRANSFERENCIAS DE CAPITAL;571,24;;;39.628,45;;;;;;;;40.199,69;40.199.690,00
;71 A Organismos Autónomos;571,24;;;39.628,45;;;;;;;;40.199,69;40.199.690,00
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;280.734,64;;;60.303,67;;;;;;;;341.038,31;341.038.310,00
;TOTAL GENERAL – MINISTERIO COMPLETO;386.262,41;3.424,39;18.708,94;97.118,51;58.454,27;46.690,50;34.387,25;346.260,66;1.830,73;24.370,64;62.344,16;1.079.852,46;1.079.852.460,00
