Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;411M;10;Altos cargos;208,53;208.530,00
1;411M;100;Retribuciones básicas y otras remuneraciones;208,53;208.530,00
1;411M;10000;Retribuciones básicas;114,59;114.590,00
1;411M;10001;Retribuciones complementarias;93,94;93.940,00
1;411M;11;Personal eventual;519,82;519.820,00
1;411M;110;Retribuciones básicas y otras remuneraciones;519,82;519.820,00
1;411M;11000;Retribuciones básicas;199,18;199.180,00
1;411M;11001;Retribuciones complementarias;320,64;320.640,00
1;411M;12;Funcionarios;14.827,27;14.827.270,00
1;411M;120;Retribuciones básicas;2.695,30;2.695.300,00
1;411M;12000;Sueldos grupo A1 y A;1.040,49;1.040.490,00
1;411M;12001;Sueldos grupo A2 y B;257,05;257.050,00
1;411M;12002;Sueldos grupo C1 y C;183,36;183.360,00
1;411M;12003;Sueldos grupo C2 y D;160,63;160.630,00
1;411M;12005;Trienios;482,17;482.170,00
1;411M;12006;Pagas extraordinarias;571,6;571.600,00
1;411M;121;Retribuciones complementarias;7.119,82;7.119.820,00
1;411M;12100;Complemento de destino;1.441,62;1.441.620,00
1;411M;12101;Complemento específico;1.714,20;1.714.200,00
1;411M;12181;Necesidades adicionales;3.964,00;3.964.000,00
1;411M;123;Indemnizaciones por destino en el extranjero;4.521,90;4.521.900,00
1;411M;12300;Indemnización por destino en el extranjero;4.481,90;4.481.900,00
1;411M;12301;Indemnización por educación;40;40.000,00
1;411M;124;Retribuciones de funcionarios en prácticas;490,25;490.250,00
1;411M;12400;Sueldos grupo A1 y A;303,52;303.520,00
1;411M;12401;Sueldos grupo A2 y B;102,06;102.060,00
1;411M;12406;Pagas extraordinarias;84,67;84.670,00
1;411M;13;Laborales;702,04;702.040,00
1;411M;130;Laboral fijo;702,04;702.040,00
1;411M;13000;Retribuciones básicas;702,04;702.040,00
1;411M;15;Incentivos al rendimiento;7.398,21;7.398.210,00
1;411M;150;Productividad;6.774,05;6.774.050,00
1;411M;151;Gratificaciones;624,16;624.160,00
1;411M;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.250,42;2.250.420,00
1;411M;160;Cuotas sociales;1.085,78;1.085.780,00
1;411M;16000;Seguridad Social;920,78;920.780,00
1;411M;16009;Otras;165;165.000,00
1;411M;162;Gastos sociales del personal;1.164,64;1.164.640,00
1;411M;16200;Formación y perfeccionamiento del personal;323,27;323.270,00
1;411M;16201;Economatos y comedores;8,04;8.040,00
1;411M;16202;Transporte de personal;62;62.000,00
1;411M;16204;Acción social;231,53;231.530,00
1;411M;16205;Seguros;167,8;167.800,00
1;411M;16209;Otros;372;372.000,00
;;;Total general de gastos personal;25.906,29;25.906.290,00
1;411M;20;Arrendamientos y cánones;1.570,00;1.570.000,00
1;411M;21;Reparaciones, mantenimiento y conservación;4.083,71;4.083.710,00
1;411M;22;Material, suministros y otros;12.462,38;12.462.380,00
1;411M;23;Indemnizaciones por razón del servicio;2.425,83;2.425.830,00
1;411M;24;Gastos de publicaciones;320;320.000,00
—;—;—;Total Bienes y Servicios;20.861,92;20.861.920,00
1;411M;35;Intereses de demora y otros gastos financieros;23,17;23.170,00
—;—;—;Total Gastos Financieros;23,17;23.170,00
1;411M;471;Cumplimiento de sentencias de los Tribunales de Justicia;73,32;73.320,00
1;411M;472;Apoyo a gastos consecuencia de situaciones extraordinarias;10.000,00;10.000.000,00
1;411M;480;Subvención a la Comisión Gestora de la extinta CONCA;188;188.000,00
1;411M;482;Organizaciones Profesionales Agrarias y otras Entidades Asociativas;1.776,06;1.776.060,00
1;411M;483;Participación internacional de entidades agrarias;753,19;753.190,00
1;411M;484;Actividades de sindicatos agroalimentarios y medioambientales;376,04;376.040,00
1;411M;485;Subvenciones a organizaciones colaboradoras tramitación ayudas PAC;4.000,00;4.000.000,00
1;411M;487;Pensiones a familias de carácter civil;4;4.000,00
1;411M;488;Protección familiar;7;7.000,00
1;411M;489;Becas de Formación;104,7;104.700,00
1;411M;490;A Organizaciones Internacionales;2.219,94;2.219.940,00
—;—;—;Total Transferencias Corrientes;19.502,25;19.502.250,00
1;411M;620;Inversión nueva asociada al funcionamiento operativo;216,46;216.460,00
1;411M;630;Inversión de reposición asociada al funcionamiento operativo;2.981,98;2.981.980,00
1;411M;640;Gastos en inversiones de carácter inmaterial;6.699,00;6.699.000,00
—;—;—;Total Inversiones Reales;9.897,44;9.897.440,00
1;411M;750;Subvenciones, indemnizaciones y ayudas;1;1.000,00
1;411M;752;Consejo Regulador de la Trufa – Gobierno de Aragón;100;100.000,00
1;411M;770;Apoyo financiero por daños por sequía y otras causas extraordinarias;4.100,00;4.100.000,00
—;—;—;Total Transferencias de Capital;4.201,00;4.201.000,00
1;411M;82104;Financiación del Sector Agrario – SAECA;25.000,00;25.000.000,00
1;411M;83008;Préstamos a corto plazo – Familias e instituciones sin fines de lucro;4,83;4.830,00
1;411M;83108;Préstamos a largo plazo – Familias e instituciones sin fines de lucro;119,37;119.370,00
1;411M;84101;Fianzas a largo plazo;10;10.000,00
—;—;—;Total Activos Financieros;25.134,20;25.134.200,00
1;411M;;Dirección y Servicios Generales de Agricultura, Pesca y Alimentación;105.526,27;105.526.270,00
1;416A;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;1,5;1.500,00
1;416A;440;Consorcio de Compensación de Seguros – Cobertura de pérdidas del Seguro Agrario Combinado;1,5;1.500,00
—;—;—;Total Transferencias Corrientes – 416A;1,5;1.500,00
—;—;—;Total Programa 416A;1,5;1.500,00
000X;—;41;A Organismos Autónomos;280.163,40;280.163.400,00
000X;—;414;Entidad Estatal de Seguros Agrarios (ENESA);280.163,40;280.163.400,00
000X;—;41400;Subvenciones del Plan Anual de Seguros Agrarios y liquidación de planes anteriores;275.735,35;275.735.350,00
000X;—;41401;Gastos de funcionamiento y otras subvenciones;4.428,05;4.428.050,00
—;—;—;Total Transferencias Corrientes – 000X;280.163,40;280.163.400,00
000X;—;71;A Organismos Autónomos;571,24;571.240,00
000X;—;714;Entidad Estatal de Seguros Agrarios (ENESA);571,24;571.240,00
—;—;—;Total Transferencias de Capital – 000X;571,24;571.240,00
01 + 000X;411M + 416A + 000X;;Ministerio, Subsecretaría y Servicios Generales;386.262,41;386.262.410,00
2;411M;10;Altos cargos;61,02;61.020,00
2;411M;100;Retribuciones básicas y otras remuneraciones;61,02;61.020,00
2;411M;10000;Retribuciones básicas;18,9;18.900,00
