Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;73.539,79;73.539.790,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.861,92;20.861.920,00
3;GASTOS FINANCIEROS;39,35;39.350,00
4;TRANSFERENCIAS CORRIENTES;360.079,01;360.079.010,00
—;TOTAL OPERACIONES CORRIENTES;454.520,07;454.520.070,00
6;INVERSIONES REALES;181.217,21;181.217.210,00
7;TRANSFERENCIAS DE CAPITAL;307.108,88;307.108.880,00
—;TOTAL OPERACIONES DE CAPITAL;488.326,09;488.326.090,00
—;TOTAL OPERACIONES NO FINANCIERAS;942.846,16;942.846.160,00
8;ACTIVOS FINANCIEROS;137.006,30;137.006.300,00
—;TOTAL PRESUPUESTO;1.079.852,46;1.079.852.460,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–300.838,62;–300.838.620,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–40.199,69;–40.199.690,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–341.038,31;–341.038.310,00
—;TOTAL CONSOLIDADO;738.814,15;738.814.150,00
