Orgánica;Económica;Explicación;10.01 ;Total (miles euros);Total (euros)
10.01;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;317.051,70;317.051,70;317.051.700,00
10.01;22;Material, suministros y otros;317.051,70;317.051,70;317.051.700,00
10.01;22109;Labores Fábrica Nacional Moneda y Timbre;2.792,21;2.792,21;2.792.210,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;317.051,70;317.051,70;317.051.700,00
10.01;3;GASTOS FINANCIEROS;20;20;20.000,00
10.01;35;Intereses de demora y otros gastos financieros;20;20;20.000,00
10.01;352;Intereses de demora;20;20;20.000,00
—;—;TOTAL GASTOS FINANCIEROS;20;20;20.000,00
—;—;TOTAL DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;317.071,70;317.071,70;317.071.700,00
—;—;TOTAL PROGRAMA 923R – Contratación centralizada;317.071,70;317.071,70;317.071.700,00
