 Económico;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.229,25;1.229.250,00
12;Funcionarios;1.121,07;1.121.070,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;108,18;108.180,00
16000;Seguridad Social;108,18;108.180,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;347.115,00;347.115.000,00
21;Reparaciones, mantenimiento y conservación;15;15.000,00
22;Material, suministros y otros;347.100,00;347.100.000,00
22705;Procesos electorales y consultas populares;347.040,00;347.040.000,00
4;TRANSFERENCIAS CORRIENTES;111.473,73;111.473.730,00
48;A familias e instituciones sin fines de lucro;111.473,73;111.473.730,00
484;Asignación anual a partidos políticos para seguridad;2.706,20;2.706.200,00
485;Financiación a partidos políticos;108.767,53;108.767.530,00
48502;Subvención de gastos electorales (Ley Orgánica 5/1985);56.063,39;56.063.390,00
6;INVERSIONES REALES;1.750,00;1.750.000,00
—;TOTAL PROGRAMA 924M – ELECCIONES Y PARTIDOS POLÍTICOS;461.567,98;461.567.980,00
