;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 131N Formación de Fuerzas y Cuerpos de Seguridad del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;16.03;16.04;16.103;;;Total;
1;GASTOS DE PERSONAL;68.514,35;69.733,80;922,10;;;139.170,25;
10; Altos cargos;;;61,03;;;61,03;
12; Funcionarios;53.349,20;59.266,35;714,61;;;113.330,16;
13; Laborales;1.281,92;;;;;1.281,92;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;13.883,23;10.467,45;146,46;;;24.497,14;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;12.822,40;20.385,84;2.827,90;;;36.036,14;
21; Reparaciones, mantenimiento y conservación;355,01;1.029,00;24,00;;;1.408,01;
22; Material, suministros y otros;2.097,39;8.256,84;2.719,90;;;13.074,13;
23; Indemnizaciones por razón del servicio;10.370,00;11.100,00;84,00;;;21.554,00;
4;TRANSFERENCIAS CORRIENTES;;3.420,75;;;;3.420,75;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;3.420,75;;;;3.420,75;
6;INVERSIONES REALES;;;250,00;;;250,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;250,00;;;250,00;
7;TRANSFERENCIAS DE CAPITAL;;31,53;;;;31,53;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;31,53;;;;31,53;
;TOTAL;81.336,75;93.571,92;4.000,00;;;178.908,67;
;;



