;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 132B Seguridad vial;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;16.101;;Total;
1;GASTOS DE PERSONAL;530.803,08;;530.803,08;
10; Altos cargos;64,01;;64,01;
12; Funcionarios;451.618,16;;451.618,16;
13; Laborales;8.750,48;;8.750,48;
15; Incentivos al rendimiento;53.459,94;;53.459,94;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;16.910,49;;16.910,49;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;196.404,61;;196.404,61;
20; Arrendamientos y cánones;1.750,00;;1.750,00;
21; Reparaciones, mantenimiento y conservación;52.930,80;;52.930,80;
22; Material, suministros y otros;137.847,81;;137.847,81;
23; Indemnizaciones por razón del servicio;3.776,00;;3.776,00;
24; Gastos de publicaciones;100,00;;100,00;
3;GASTOS FINANCIEROS;52,89;;52,89;
35; Intereses de demora y otros gastos financieros;52,89;;52,89;
4;TRANSFERENCIAS CORRIENTES;671,90;;671,90;
48; A familias e instituciones sin fines de lucro;550,00;;550,00;
49; Al exterior;121,90;;121,90;
6;INVERSIONES REALES;115.161,31;;115.161,31;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;15.987,39;;15.987,39;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;45.878,28;;45.878,28;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;13.174,29;;13.174,29;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;25.329,37;;25.329,37;
64; Gastos de inversiones de carácter inmaterial;14.791,98;;14.791,98;
8;ACTIVOS FINANCIEROS;598,31;;598,31;
83; Concesión de préstamos fuera del Sector Público;598,31;;598,31;
;TOTAL;843.692,10;;843.692,10;
;;



