 Económico;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;981.670,66;981.670.660,00
10;Altos cargos;138,82;138.820,00
12;Funcionarios;787.727,86;787.727.860,00
13;Laborales;68.183,10;68.183.100,00
15;Incentivos al rendimiento;48.549,01;48.549.010,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;77.071,87;77.071.870,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;314.858,49;314.858.490,00
20;Arrendamientos y cánones;3.405,00;3.405.000,00
21;Reparaciones, mantenimiento y conservación;33.641,94;33.641.940,00
22;Material, suministros y otros;261.335,95;261.335.950,00
23;Indemnizaciones por razón del servicio;1.548,45;1.548.450,00
25;Conciertos de asistencia sanitaria;14.927,15;14.927.150,00
3;GASTOS FINANCIEROS;15,62;15.620,00
35;Intereses de demora y otros gastos financieros;15,62;15.620,00
4;TRANSFERENCIAS CORRIENTES;17.303,96;17.303.960,00
44;A entidades del sector público estatal;12.862,34;12.862.340,00
46;A entidades locales;511;511.000,00
48;A familias e instituciones sin fines de lucro;3.922,62;3.922.620,00
49;Al exterior;8;8.000,00
6;INVERSIONES REALES;12.213,67;12.213.670,00
63;Reposición asociada al funcionamiento operativo;12.213,67;12.213.670,00
7;TRANSFERENCIAS DE CAPITAL;100,2;100.200,00
74;A entidades del sector público estatal;100,2;100.200,00
8;ACTIVOS FINANCIEROS;95,19;95.190,00
83;Concesión de préstamos fuera del sector público;95,19;95.190,00
—;TOTAL PROGRAMA 133A – CENTROS E INSTITUCIONES PENITENCIARIAS;1.326.257,79;1.326.257.790,00
