;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;66.226,29;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.987,36;
3; GASTOS FINANCIEROS;121,90;
4; TRANSFERENCIAS CORRIENTES;21.849,85;
;TOTAL OPERACIONES CORRIENTES;109.185,40;
6; INVERSIONES REALES;3.920,57;
;TOTAL OPERACIONES DE CAPITAL;3.920,57;
;TOTAL OPERACIONES NO FINANCIERAS;113.105,97;
8; ACTIVOS FINANCIEROS;173,00;
;TOTAL PRESUPUESTO;113.278,97;
4; TRANSFERENCIAS CORRIENTES;-21.453,66;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-21.453,66;
;TOTAL CONSOLIDADO;91.825,31;
;;



