Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;157.534,44;157.534.440,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;78.100,51;78.100.510,00
3;GASTOS FINANCIEROS;27.825,02;27.825.020,00
4;TRANSFERENCIAS CORRIENTES;606.020,77;606.020.770,00
—;TOTAL OPERACIONES CORRIENTES;869.480,74;869.480.740,00
6;INVERSIONES REALES;17.071,30;17.071.300,00
7;TRANSFERENCIAS DE CAPITAL;286.143,30;286.143.300,00
—;TOTAL OPERACIONES DE CAPITAL;303.214,60;303.214.600,00
—;TOTAL OPERACIONES NO FINANCIERAS;1.172.695,34;1.172.695.340,00
8;ACTIVOS FINANCIEROS;1.336.888,66;1.336.888.660,00
—;TOTAL Capítulos 1–8;2.509.584,00;2.509.584.000,00
9;PASIVOS FINANCIEROS;1,00;1.000,00
—;TOTAL Capítulo 9;1,00;1.000,00
—;TOTAL PRESUPUESTO;2.509.585,00;2.509.585.000,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–193.756,19;–193.756.190,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–27.966,83;–27.966.830,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–221.723,02;–221.723.020,00
—;TOTAL CONSOLIDADO;2.287.861,98;2.287.861.980,00
