;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456D Actuación en la costa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;23.06;;Total;
1;GASTOS DE PERSONAL;25.070,66;;25.070,66;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;14.188,49;;14.188,49;
13; Laborales;6.665,74;;6.665,74;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.155,39;;4.155,39;
4;TRANSFERENCIAS CORRIENTES;1.869,28;;1.869,28;
48; A familias e instituciones sin fines de lucro;1.869,28;;1.869,28;
6;INVERSIONES REALES;68.765,51;;68.765,51;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;39.719,32;;39.719,32;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;18.046,19;;18.046,19;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;231,14;;231,14;
64; Gastos de inversiones de carácter inmaterial;10.768,86;;10.768,86;
7;TRANSFERENCIAS DE CAPITAL;950,00;;950,00;
76; A Entidades Locales;950,00;;950,00;
;TOTAL;96.655,45;;96.655,45;
;;



