Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
23.08;1;GASTOS DE PERSONAL;6.934,67;6.934,67
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;5.755,64;5.755,64;5.755.640,00
13;Laborales;21,67;21,67;21.670,00
16;Cuotas y prestaciones sociales;1.096,32;1.096,32;1.096.320,00
16000;Seguridad Social;1.096,32;1.096,32;1.096.320,00
23.08;6;INVERSIONES REALES;INVERSIONES REALES;7.040,08
23.08;7;TRANSFERENCIAS DE CAPITAL;TRANSFERENCIAS DE CAPITAL;11.200,13
75;A Comunidades Autónomas;8.500,13;8.500,13;8.500.130,00
751;Canarias – transporte de residuos;1.000,00;1.000,00;1.000.000,00
752;Política de residuos;0,13;0,13;130,00
753;La Rioja – Ciudad del envase y embalaje;500;500;500.000,00
756;PIMA Economía Circular;7.000,00;7.000,00;7.000.000,00
76;A Entidades Locales;2.700,00;2.700,00;2.700.000,00
761;Bizkaia – Ribera BI 711 y puente ciclable;2.000,00;2.000,00;2.000.000,00
762;Asparrena – Planta de tratamiento de biorresiduos;700;700;700.000,00
—;TOTAL PROGRAMA 456B;25.174,88;25.174,88;25.174.880,00
