;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 452A Gestión e infraestructuras del agua;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;23.05;23.102;23.103;23.104;23.105;23.106;23.107;23.108;23.109;23.110;23.111;Total;
1;GASTOS DE PERSONAL;7.090,51;9.657,55;19.669,27;26.303,39;24.458,45;18.692,82;14.017,19;6.243,29;12.181,14;17.530,07;13.348,00;169.191,68;
10; Altos cargos;61,04;;;;;;;;;;;61,04;
12; Funcionarios;5.628,80;5.035,59;6.134,20;9.770,65;9.838,75;7.191,23;7.806,33;3.668,89;5.701,14;6.207,38;3.239,80;70.222,76;
13; Laborales;465,76;2.536,81;9.252,51;11.839,62;9.417,90;7.343,59;3.423,80;1.412,03;4.076,31;6.796,23;6.680,01;63.244,57;
15; Incentivos al rendimiento;;317,66;512,76;572,64;534,24;433,08;345,62;174,26;285,00;408,19;156,67;3.740,12;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;934,91;1.767,49;3.769,80;4.120,48;4.667,56;3.724,92;2.441,44;988,11;2.118,69;4.118,27;3.271,52;31.923,19;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.335,01;30.961,73;37.660,50;58.191,22;15.375,23;17.218,69;10.035,76;67.514,80;17.829,05;171.005,13;428.127,12;
20; Arrendamientos y cánones;;103,00;709,76;594,00;169,27;316,10;155,87;66,00;2.347,25;720,21;167,00;5.348,46;
21; Reparaciones, mantenimiento y conservación;;200,00;3.707,03;16.946,00;2.030,87;2.380,00;3.012,82;320,00;11.013,87;968,23;16.967,82;57.546,64;
22; Material, suministros y otros;;1.746,96;25.953,94;19.448,00;55.515,05;12.477,75;13.533,74;9.495,76;53.960,72;15.850,42;153.740,31;361.722,65;
23; Indemnizaciones por razón del servicio;;282,05;531,12;655,00;447,43;199,58;491,26;154,00;192,96;280,19;110,00;3.343,59;
24; Gastos de publicaciones;;3,00;59,88;17,50;28,60;1,80;25,00;;;10,00;20,00;165,78;
3;GASTOS FINANCIEROS;;30,00;781,33;18,50;250,00;50,00;600,00;15,00;126,76;570,00;620,00;3.061,59;
31; De préstamos en euros;;;;;250,00;;0,64;;16,76;10,00;;277,40;
35; Intereses de demora y otros gastos financieros;;30,00;781,33;18,50;;50,00;599,36;15,00;110,00;560,00;620,00;2.784,19;
4;TRANSFERENCIAS CORRIENTES;8.000,00;150,00;14,32;45,00;250,00;;156,36;40,43;148,00;1,00;;8.805,11;
45; A Comunidades Autónomas;8.000,00;;6,32;45,00;;;;4,00;;;;8.055,32;
48; A familias e instituciones sin fines de lucro;;150,00;5,00;;;;156,36;36,43;143,00;;;490,79;
49; Al exterior;;;3,00;;250,00;;;;5,00;1,00;;259,00;
6;INVERSIONES REALES;220.800,00;10.015,00;44.952,00;33.385,00;76.762,55;26.300,00;17.446,79;15.130,00;18.199,33;31.493,30;54.846,67;549.330,64;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;8.400,00;1.510,00;50,00;;;2.700,00;1.205,57;6.846,00;1.668,71;1.082,00;;23.462,28;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;197.400,00;5.960,00;35.170,00;25.090,00;74.486,53;8.800,00;5.576,59;5.005,00;13.253,75;21.733,53;;392.475,40;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;500,00;600,00;2.962,00;2.725,00;500,00;4.000,00;1.953,76;1.354,00;597,00;469,00;54.846,67;70.507,43;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;485,00;890,00;;;4.000,00;4.706,73;310,00;1.259,53;817,00;;12.468,26;
64; Gastos de inversiones de carácter inmaterial;14.500,00;1.460,00;5.880,00;5.570,00;1.776,02;6.800,00;4.004,14;1.615,00;1.420,34;7.391,77;;50.417,27;
7;TRANSFERENCIAS DE CAPITAL;60.306,00;;;100,00;13.200,00;1.000,00;435,00;50,00;15.623,55;670,00;;91.384,55;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;17.000,00;;;;13.200,00;;435,00;;;670,00;;31.305,00;
75; A Comunidades Autónomas;41.501,00;;;;;;;;15.598,55;;;57.099,55;
76; A Entidades Locales;1.805,00;;;100,00;;1.000,00;;;;;;2.905,00;
78; A familias e instituciones sin fines de lucro;;;;;;;;50,00;25,00;;;75,00;
8;ACTIVOS FINANCIEROS;;30,00;100,00;45,00;162,04;47,92;35,00;20,00;65,15;25,00;1.120,00;1.650,11;
83; Concesión de préstamos fuera del Sector Público;;30,00;100,00;45,00;162,04;47,92;35,00;20,00;65,15;25,00;1.120,00;1.650,11;
9;PASIVOS FINANCIEROS;;;;;35.500,00;;;;;;;35.500,00;
91; Amortización de préstamos en euros;;;;;35.500,00;;;;;;;35.500,00;
;TOTAL;296.196,51;22.217,56;96.478,65;97.557,39;208.774,26;61.465,97;49.909,03;31.534,48;113.858,73;68.118,42;240.939,80;1.287.050,80;
;;



