Económica;Explicación;23.04;23.10;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;–;2.781,63;2.781,63;2.781.630,00
10;Altos cargos;–;61,04;61,04;61.040,00
12;Funcionarios;–;2.280,66;2.280,66;2.280.660,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;–;439,93;439,93;439.930,00
4;TRANSFERENCIAS CORRIENTES;875;222,28;1.097,28;1.097.280,00
48;A familias e instituciones sin fines de lucro;875;222,28;1.097,28;1.097.280,00
6;INVERSIONES REALES;468,24;1.500,00;1.968,24;1.968.240,00
64;Gastos de inversiones de carácter inmaterial;468,24;1.500,00;1.968,24;1.968.240,00
7;TRANSFERENCIAS DE CAPITAL;–;10.800,00;10.800,00;10.800.000,00
74;A entidades públicas;–;3.300,00;3.300,00;3.300.000,00
75;A Comunidades Autónomas;–;7.500,00;7.500,00;7.500.000,00
8;ACTIVOS FINANCIEROS;–;12.000,00;12.000,00;12.000.000,00
87;Aportaciones patrimoniales;–;12.000,00;12.000,00;12.000.000,00
TOTAL;—;1.343,24;27.303,91;28.647,15;28.647.150,00
