;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 424M Seguridad nuclear y protección radiológica;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;23.302;;Total;
1;GASTOS DE PERSONAL;28.205,07;;28.205,07;
10; Altos cargos;795,60;;795,60;
11; Personal eventual;1.291,70;;1.291,70;
12; Funcionarios;17.538,52;;17.538,52;
13; Laborales;1.562,11;;1.562,11;
15; Incentivos al rendimiento;2.201,51;;2.201,51;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.815,63;;4.815,63;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;12.292,50;;12.292,50;
20; Arrendamientos y cánones;170,00;;170,00;
21; Reparaciones, mantenimiento y conservación;2.010,00;;2.010,00;
22; Material, suministros y otros;9.072,50;;9.072,50;
23; Indemnizaciones por razón del servicio;840,00;;840,00;
24; Gastos de publicaciones;200,00;;200,00;
3;GASTOS FINANCIEROS;421,00;;421,00;
35; Intereses de demora y otros gastos financieros;421,00;;421,00;
4;TRANSFERENCIAS CORRIENTES;1.244,12;;1.244,12;
45; A Comunidades Autónomas;265,00;;265,00;
48; A familias e instituciones sin fines de lucro;435,00;;435,00;
49; Al exterior;544,12;;544,12;
6;INVERSIONES REALES;4.271,00;;4.271,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;2.000,00;;2.000,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;971,00;;971,00;
64; Gastos de inversiones de carácter inmaterial;1.300,00;;1.300,00;
7;TRANSFERENCIAS DE CAPITAL;1.430,00;;1.430,00;
75; A Comunidades Autónomas;1.420,00;;1.420,00;
79; Al exterior;10,00;;10,00;
8;ACTIVOS FINANCIEROS;68,00;;68,00;
83; Concesión de préstamos fuera del Sector Público;67,00;;67,00;
84; Constitución de depósitos y fianzas;1,00;;1,00;
;TOTAL;47.931,69;;47.931,69;
;;



