Económica;Explicación;23.05;23.102;23.104;23.105;23.107;23.108;23.110;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;908,95;–;5.846,98;–;1.417,12;–;747,85;8.920,90;8.920.900,00
12;Funcionarios;763,17;–;3.602,13;–;786,24;–;497,67;5.649,21;5.649.210,00
13;Laborales;–;–;1.055,07;–;230,59;–;72,54;1.358,20;1.358.200,00
15;Incentivos al rendimiento;–;–;108,14;–;161,71;–;22,89;292,74;292.740,00
16;Cuotas y gastos sociales;145,78;–;1.081,64;–;238,58;–;154,75;1.620,75;1.620.750,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;–;1.164,99;952;3.401,04;1.197,61;1.013,10;38;7.766,74;7.766.740,00
20;Arrendamientos y cánones;–;85;37;16,89;6,93;–;–;145,82;145.820,00
21;Reparaciones y conservación;–;255;285;1.084,86;170,77;–;–;1.795,63;1.795.630,00
22;Material y suministros;–;820,99;525;2.040,48;984,98;1.013,10;15;5.399,55;5.399.550,00
23;Indemnizaciones;–;–;105;259;35;–;23;421,74;421.740,00
24;Publicaciones;–;4;–;–;–;–;–;4;4.000,00
3;GASTOS FINANCIEROS;–;17;–;–;–;5;–;22;22.000,00
35;Intereses de demora;–;17;–;–;–;5;–;22;22.000,00
4;TRANSFERENCIAS CORRIENTES;6.261,75;1;–;–;–;–;47,02;6.309,77;6.309.770,00
45;A Comunidades Autónomas;–;–;–;–;–;–;47,02;47,02;47.020,00
49;Al exterior;6.261,75;1;–;–;–;–;–;6.262,75;6.262.750,00
6;INVERSIONES REALES;206.085,72;1.985,00;4.520,00;11.596,02;1.553,21;15.610,00;320;241.669,95;241.669.950,00
60;Infraestructuras nuevas;180.085,72;700;–;–;–;14.567,00;–;195.352,72;195.352.720,00
61;Reposición infraestructuras;–;50;–;11.596,02;–;675;–;12.321,02;12.321.020,00
62;Nuevas inversiones operativas;–;20;320;–;50;65,65;–;455,65;455.650,00
63;Reposición operativa;–;40;–;713,21;15;–;–;768,21;768.210,00
64;Inversiones inmateriales;26.000,00;1.175,00;4.200,00;–;840;303;254,35;32.772,35;32.772.350,00
7;TRANSFERENCIAS DE CAPITAL;1;–;–;–;–;–;–;1;1.000,00
75;A Comunidades Autónomas;1;–;–;–;–;–;–;1;1.000,00
—;TOTAL PROGRAMA 456A;213.257,42;3.167,99;11.318,98;14.997,06;4.167,94;16.628,10;1.152,87;264.690,36;264.690.360,00
