Económica;Explicación;Explicación;Total (miles euros);Total (euros)
23.05;;;;
12;Funcionarios;763,17;763,17;763.170,00
16;Cuotas, prestaciones y gastos sociales;145,78;145,78;145.780,00
16000;Seguridad Social;145,78;145,78;145.780,00
—;TOTAL GASTOS DE PERSONAL;908,95;908,95;908.950,00
49;Al exterior;6.261,75;6.261,75;6.261.750,00
490;UE – indemnizaciones por sentencia TJUE;6.261,75;6.261,75;6.261.750,00
—;TOTAL TRANSFERENCIAS CORRIENTES;6.261,75;6.261,75;6.261.750,00
6;INVERSIONES REALES;206.085,72;206.085,72;206.085.720,00
75;A Comunidades Autónomas;1;1;1.000,00
754;Plan Nacional calidad aguas Aragón;1;1;1.000,00
—;TOTAL TRANSFERENCIAS DE CAPITAL;1;1;1.000,00
—;TOTAL DIRECCIÓN GENERAL DEL AGUA;213.257,42;213.257,42;213.257.420,00
23.102;;;;
202;Arrendamientos edificios;85;85;85.000,00
22502;Locales;85;85;85.000,00
—;TOTAL GASTOS CORRIENTES;1.164,99;1.164,99;1.164.990,00
35;Intereses demora;17;17;17.000,00
352;Intereses de demora;17;17;17.000,00
—;TOTAL GASTOS FINANCIEROS;17;17;17.000,00
49;Al exterior;1;1;1.000,00
490;Red Internacional de Organismos de Cuenca;1;1;1.000,00
—;TOTAL TRANSFERENCIAS CORRIENTES;1;1;1.000,00
6;INVERSIONES REALES;1.985,00;1.985,00;1.985.000,00
—;TOTAL C.H. CANTÁBRICO;3.167,99;3.167,99;3.167.990,00
23.104;;;;
15;Incentivos al rendimiento;108,14;108,14;108.140,00
150;Productividad;80;80;80.000,00
151;Gratificaciones;28,14;28,14;28.140,00
16000;Seguridad Social;1.056,38;1.056,38;1.056.380,00
16200;Formación;25,26;25,26;25.260,00
—;TOTAL GASTOS DE PERSONAL;5.846,98;5.846,98;5.846.980,00
202;Arrendamientos edificios;37;37;37.000,00
—;TOTAL GASTOS CORRIENTES;952;952;952.000,00
6;INVERSIONES REALES;4.520,00;4.520,00;4.520.000,00
—;TOTAL C.H. DEL EBRO;11.318,98;11.318,98;11.318.980,00
23.105;;;;
—;GASTOS CORRIENTES;3.401,04;3.401,04;3.401.040,00
6;INVERSIONES REALES;11.596,02;11.596,02;11.596.020,00
—;TOTAL C.H. DEL GUADALQUIVIR;14.997,06;14.997,06;14.997.060,00
23.107;;;;
15;Incentivos al rendimiento;161,71;161,71;161.710,00
150;Productividad;127,81;127,81;127.810,00
151;Gratificaciones;33,9;33,9;33.900,00
16000;Seguridad Social;217,26;217,26;217.260,00
16200;Formación;8,02;8,02;8.020,00
16201;Economatos y comedores;4,61;4,61;4.610,00
—;TOTAL GASTOS DE PERSONAL;1.417,12;1.417,12;1.417.120,00
202;Arrendamientos edificios;6,93;6,93;6.930,00
—;GASTOS CORRIENTES;1.197,61;1.197,61;1.197.610,00
6;INVERSIONES REALES;1.553,21;1.553,21;1.553.210,00
—;TOTAL C.H. DEL JÚCAR;4.167,94;4.167,94;4.167.940,00
23.108;;;;
—;GASTOS CORRIENTES;1.013,10;1.013,10;1.013.100,00
35;Intereses demora;5;5;5.000,00
352;Intereses de demora;5;5;5.000,00
—;GASTOS FINANCIEROS;5;5;5.000,00
6;INVERSIONES REALES;15.610,00;15.610,00;15.610.000,00
—;TOTAL C.H. DEL MIÑO-SIL;16.628,10;16.628,10;16.628.100,00
23.110;;;;
15;Incentivos al rendimiento;22,89;22,89;22.890,00
150;Productividad;16,86;16,86;16.860,00
151;Gratificaciones;6,03;6,03;6.030,00
16000;Seguridad Social;152,61;152,61;152.610,00
16200;Formación;0,3;0,3;300,00
16204;Acción social;1,84;1,84;1.840,00
—;GASTOS DE PERSONAL;747,85;747,85;747.850,00
—;GASTOS CORRIENTES;38;38;38.000,00
45;A Comunidades Autónomas;47,02;47,02;47.020,00
455;Convenio con IES San Fernando;22,02;22,02;22.020,00
456;Convenio con UCM;25;25;25.000,00
—;TRANSFERENCIAS CORRIENTES;47,02;47,02;47.020,00
6;INVERSIONES REALES;320;320;320.000,00
—;TOTAL C.H. DEL TAJO;1.152,87;1.152,87;1.152.870,00
—;TOTAL PROGRAMA 456A – Calidad del Agua;264.690,36;264.690,36;264.690.360,00
