;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456N Transición justa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;23.112;;Total;
1;GASTOS DE PERSONAL;2.353,49;;2.353,49;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;1.134,52;;1.134,52;
13; Laborales;544,51;;544,51;
15; Incentivos al rendimiento;169,54;;169,54;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;443,88;;443,88;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.073,14;;8.073,14;
20; Arrendamientos y cánones;13,23;;13,23;
21; Reparaciones, mantenimiento y conservación;235,50;;235,50;
22; Material, suministros y otros;7.594,98;;7.594,98;
23; Indemnizaciones por razón del servicio;225,93;;225,93;
24; Gastos de publicaciones;3,50;;3,50;
3;GASTOS FINANCIEROS;929,44;;929,44;
35; Intereses de demora y otros gastos financieros;929,44;;929,44;
4;TRANSFERENCIAS CORRIENTES;151.990,78;;151.990,78;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;11.700,00;;11.700,00;
46; A Entidades Locales;3.290,78;;3.290,78;
47; A empresas privadas;135.000,00;;135.000,00;
48; A familias e instituciones sin fines de lucro;2.000,00;;2.000,00;
6;INVERSIONES REALES;6.350,00;;6.350,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;2.150,00;;2.150,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.000,00;;1.000,00;
64; Gastos de inversiones de carácter inmaterial;3.200,00;;3.200,00;
7;TRANSFERENCIAS DE CAPITAL;162.426,33;;162.426,33;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1.100,00;;1.100,00;
75; A Comunidades Autónomas;95.000,00;;95.000,00;
76; A Entidades Locales;500,00;;500,00;
77; A empresas privadas;65.826,33;;65.826,33;
8;ACTIVOS FINANCIEROS;10,00;;10,00;
83; Concesión de préstamos fuera del Sector Público;10,00;;10,00;
;TOTAL;332.133,18;;332.133,18;
;;



