;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456C Protección y mejora del medio natural;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;23.11;23.12;23.101;;;Total;
1;GASTOS DE PERSONAL;6.552,93;;9.366,42;;;15.919,35;
10; Altos cargos;61,04;;;;;61,04;
12; Funcionarios;4.776,08;;4.220,40;;;8.996,48;
13; Laborales;640,41;;2.463,58;;;3.103,99;
15; Incentivos al rendimiento;;;1.081,88;;;1.081,88;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.075,40;;1.600,56;;;2.675,96;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;13.473,79;;;13.473,79;
20; Arrendamientos y cánones;;;710,32;;;710,32;
21; Reparaciones, mantenimiento y conservación;;;1.813,16;;;1.813,16;
22; Material, suministros y otros;;;10.414,34;;;10.414,34;
23; Indemnizaciones por razón del servicio;;;355,97;;;355,97;
24; Gastos de publicaciones;;;180,00;;;180,00;
3;GASTOS FINANCIEROS;;;15,50;;;15,50;
35; Intereses de demora y otros gastos financieros;;;15,50;;;15,50;
4;TRANSFERENCIAS CORRIENTES;15.197,42;;1.055,52;;;16.252,94;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;14.827,42;;;;;14.827,42;
45; A Comunidades Autónomas;;;107,50;;;107,50;
46; A Entidades Locales;20,00;;105,00;;;125,00;
47; A empresas privadas;;;100,00;;;100,00;
48; A familias e instituciones sin fines de lucro;350,00;;640,10;;;990,10;
49; Al exterior;;;102,92;;;102,92;
6;INVERSIONES REALES;142.667,20;;31.616,96;;;174.284,16;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;7.000,00;;15.248,89;;;22.248,89;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;102.752,36;;14.758,07;;;117.510,43;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.001,00;;400,00;;;1.401,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;3.002,00;;305,00;;;3.307,00;
64; Gastos de inversiones de carácter inmaterial;28.911,84;;905,00;;;29.816,84;
7;TRANSFERENCIAS DE CAPITAL;23.649,18;14.670,69;4.772,41;;;43.092,28;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1.549,18;;852,41;;;2.401,59;
75; A Comunidades Autónomas;22.000,00;;3.820,00;;;25.820,00;
76; A Entidades Locales;100,00;14.670,69;;;;14.770,69;
79; Al exterior;;;100,00;;;100,00;
8;ACTIVOS FINANCIEROS;22.000,00;;15,00;;;22.015,00;
82; Concesión de préstamos al Sector Público;22.000,00;;;;;22.000,00;
83; Concesión de préstamos fuera del Sector Público;;;15,00;;;15,00;
;TOTAL;210.066,73;14.670,69;60.315,60;;;285.053,02;
;;



