Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;26.555,38;26.555.380,00
10;Altos cargos;269,6;269.600,00
11;Personal eventual;530,53;530.530,00
12;Funcionarios;21.530,93;21.530.930,00
13;Laborales;650,43;650.430,00
15;Incentivos al rendimiento;2.060,74;2.060.740,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.513,15;1.513.150,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.229,90;7.229.900,00
20;Arrendamientos y cánones;2.894,77;2.894.770,00
21;Reparaciones, mantenimiento y conservación;860,85;860.850,00
22;Material, suministros y otros;3.064,56;3.064.560,00
23;Indemnizaciones por razón del servicio;356,62;356.620,00
24;Gastos de publicaciones;53,1;53.100,00
6;INVERSIONES REALES;7.518,62;7.518.620,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;70,13;70.130,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;7.414,78;7.414.780,00
64;Gastos de inversiones de carácter inmaterial;33,71;33.710,00
8;ACTIVOS FINANCIEROS;59,77;59.770,00
83;Concesión de préstamos fuera del Sector Público;59,77;59.770,00
—;TOTAL PROGRAMA 921M;41.363,67;41.363.670,00
