;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;Programa: 922M Organización territorial del Estado y desarrollo de sus sistemas de colaboración;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;22.02;;Total;
1;GASTOS DE PERSONAL;11.528,55;;11.528,55;
10; Altos cargos;334,58;;334,58;
11; Personal eventual;249,60;;249,60;
12; Funcionarios;8.125,19;;8.125,19;
13; Laborales;51,52;;51,52;
15; Incentivos al rendimiento;1.696,15;;1.696,15;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.071,51;;1.071,51;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;200,54;;200,54;
22; Material, suministros y otros;97,22;;97,22;
23; Indemnizaciones por razón del servicio;103,32;;103,32;
4;TRANSFERENCIAS CORRIENTES;30,00;;30,00;
48; A familias e instituciones sin fines de lucro;30,00;;30,00;
;TOTAL;11.759,09;;11.759,09;
;;



