;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 467H Investigación energética, medioambiental y tecnológica;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;28.103;;Total;
1;GASTOS DE PERSONAL;59.677,91;;59.677,91;
10; Altos cargos;61,02;;61,02;
12; Funcionarios;30.625,06;;30.625,06;
13; Laborales;14.137,45;;14.137,45;
15; Incentivos al rendimiento;3.135,57;;3.135,57;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;11.718,81;;11.718,81;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.025,51;;27.025,51;
20; Arrendamientos y cánones;3.868,71;;3.868,71;
21; Reparaciones, mantenimiento y conservación;4.316,73;;4.316,73;
22; Material, suministros y otros;17.129,17;;17.129,17;
23; Indemnizaciones por razón del servicio;1.695,90;;1.695,90;
24; Gastos de publicaciones;15,00;;15,00;
3;GASTOS FINANCIEROS;1.139,36;;1.139,36;
35; Intereses de demora y otros gastos financieros;1.139,36;;1.139,36;
4;TRANSFERENCIAS CORRIENTES;554,20;;554,20;
48; A familias e instituciones sin fines de lucro;124,50;;124,50;
49; Al exterior;429,70;;429,70;
6;INVERSIONES REALES;24.572,25;;24.572,25;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;9.684,92;;9.684,92;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;9.582,24;;9.582,24;
64; Gastos de inversiones de carácter inmaterial;5.305,09;;5.305,09;
7;TRANSFERENCIAS DE CAPITAL;2.197,00;;2.197,00;
75; A Comunidades Autónomas;1.584,00;;1.584,00;
78; A familias e instituciones sin fines de lucro;7,00;;7,00;
79; Al exterior;606,00;;606,00;
8;ACTIVOS FINANCIEROS;128,00;;128,00;
83; Concesión de préstamos fuera del Sector Público;125,00;;125,00;
86; Adquisición de acciones y participaciones de fuera del Sector Público;3,00;;3,00;
;TOTAL;115.294,23;;115.294,23;
;;



