Económica;Explicación;28.08 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.442,46;2.442,46;2.442.460
10;Altos cargos;71,16;71,16;71.160
12;Funcionarios;1.891,98;1.891,98;1.891.980
13;Laborales;219,4;219,4;219.400
16;Cuotas, prestaciones y gastos sociales;259,92;259,92;259.920
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.538,68;2.538,68;2.538.680
22;Material, suministros y otros;2.326,74;2.326,74;2.326.740
23;Indemnizaciones por razón del servicio;211,94;211,94;211.940
3;GASTOS FINANCIEROS;5;5;5.000
35;Intereses de demora y otros gastos financieros;5;5;5.000,00
4;TRANSFERENCIAS CORRIENTES;17.422,64;17.422,64;17.422.640
44;A entidades del Sector Público Estatal;11.748,07;11.748,07;11.748.070,00
46;A Entidades Locales;5.153,85;5.153,85;5.153.850
47;A empresas privadas;50;50;50.000
48;A familias e instituciones sin fines de lucro;250;250;250.000,00
49;Al exterior;220,72;220,72;220.720,00
6;INVERSIONES REALES;545,75;545,75;545.750
64;Gastos de inversiones inmateriales;545,75;545,75;545.750
7;TRANSFERENCIAS DE CAPITAL;526.231,05;526.231,05;526.231.050
74;A entidades del Sector Público Estatal;513.831,05;513.831,05;513.831.050,00
75;A Comunidades Autónomas;8.000,00;8.000,00;8.000.000,00
77;A empresas privadas;3.000,00;3.000,00;3.000.000,00
78;A familias e instituciones sin fines de lucro;1.400,00;1.400,00;1.400.000
8;ACTIVOS FINANCIEROS;938.270,00;938.270,00;938.270.000
82;Préstamos al Sector Público;253.000,00;253.000,00;253.000.000
87;Aportaciones patrimoniales;685.270,00;685.270,00;685.270.000
—;TOTAL PROGRAMA 467C;—;1.487.455,58;1.487.455.580
