Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.08;10;Altos cargos;71,16;71.160
28.08;12;Funcionarios;1.891,98;1.891.980
28.08;13;Laborales;219,4;219.400
28.08;16;Cuotas, prestaciones y gastos sociales;259,92;259.920
28.08;16000;Seguridad Social;259,92;259.920
28.08;—;TOTAL GASTOS DE PERSONAL;2.442,46;2.442.460
28.08;22;Material, suministros y otros;2.326,74;2.326.740
28.08;22601;Atenciones protocolarias y representativas;4,26;4.260
28.08;23;Indemnizaciones por razón del servicio;211,94;211.940
28.08;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.538,68;2.538.680
28.08;35;Intereses de demora y otros gastos financieros;5;5.000
28.08;352;Intereses de demora;5;5.000
28.08;—;TOTAL GASTOS FINANCIEROS;5;5.000,00
28.08;44;A entidades del Sector Público Estatal;11.748,07;11.748.070
28.08;44900;FECYT;10.152,00;10.152.000
28.08;44904;CDTI – Red Exterior;908,3;908.300
28.08;44905;CDTI – RED PI+D+i;687,77;687.770,00
28.08;46;A Entidades Locales;5.153,85;5.153.850
28.08;460;Red Innpulso – agentes de innovación;5.000,00;5.000.000
28.08;461;PROMALAGA – Foro TRANSFIERE;153,85;153.850,00
28.08;47;A empresas privadas;50;50.000
28.08;471;Premios Nacionales de Innovación y Diseño;50;50.000
28.08;48;A familias e instituciones sin fines de lucro;250;250.000,00
28.08;48004;Asociación Red INNPULSO;150;150.000
28.08;485;Premios Nacionales de Innovación y Diseño;100;100.000
28.08;49;Al exterior;220,72;220.720
28.08;499;Transferencias al exterior;220,72;220.720
28.08;—;TOTAL TRANSFERENCIAS CORRIENTES;17.422,64;17.422.640
28.08;6;INVERSIONES REALES;545,75;545.750
28.08;74;A entidades del Sector Público Estatal;513.831,05;513.831.050
28.08;74900;FECYT;4.000,00;4.000.000,00
28.08;74904;CDTI – costes de financiación;18.081,05;18.081.050,00
28.08;74907;CDTI – I+D+i cofinanciado FEDER;26.750,00;26.750.000
28.08;74908;CDTI – I+D+i empresarial;65.000,00;65.000.000
28.08;74920;CDTI – programas espaciales;300.000,00;300.000.000
28.08;74921;CDTI – Programa Misiones;70.000,00;70.000.000,00
28.08;74923;CDTI – compra pública precomercial;15.000,00;15.000.000,00
28.08;75;A Comunidades Autónomas;8.000,00;8.000.000
28.08;750;Ciudad del Envase y Embalaje (La Rioja);500;500.000
28.08;751;UPV – Mobility Lab;500;500.000
28.08;752;Generalitat de Catalunya;7.000,00;7.000.000
28.08;77;A empresas privadas;3.000,00;3.000.000
28.08;770;Mondragón – Centro de Innovación;1.000,00;1.000.000
28.08;771;Mondragón – plataforma digital;2.000,00;2.000.000
28.08;78;A familias e instituciones sin fines de lucro;1.400,00;1.400.000
28.08;780;CIC Energigune – electrolizadores;400;400.000
28.08;781;Universidad de Deusto – transferencia tecnológica;1.000,00;1.000.000,00
28.08;—;TOTAL TRANSFERENCIAS DE CAPITAL;526.231,05;526.231.050
28.08;82;Préstamos al Sector Público;253.000,00;253.000.000
28.08;87;Aportaciones patrimoniales;685.270,00;685.270.000
28.08;87000;CDTI – proyectos I+D+i;358.270,00;358.270.000
28.08;87001;CDTI – programa INNVIERTE;200.000,00;200.000.000,00
28.08;87003;CDTI – Fondo Provisiones Técnicas;127.000,00;127.000.000,00
28.08;—;TOTAL ACTIVOS FINANCIEROS;938.270,00;938.270.000
28.08;—;TOTAL SECRETARÍA GENERAL DE INNOVACIÓN;1.487.455,58;1.487.455.580
—;—;TOTAL PROGRAMA 467C;1.487.455,58;1.487.455.580
