;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;28.06;28.07;28.09;28.50;28.103;28.107;28.301;28.303;Total;
4;TRANSFERENCIAS CORRIENTES;656.917,31;44,00;57.134,96;;;;1.494,31;;715.590,58;
41; A Organismos Autónomos;186.828,18;;57.134,96;;;;1.494,31;;245.457,45;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;470.089,13;44,00;;;;;;;470.133,13;
7;TRANSFERENCIAS DE CAPITAL;932.062,96;15,00;1.453,03;866.436,11;28,65;248,66;;88.686,40;1.888.930,81;
71; A Organismos Autónomos;98.710,70;;1.453,03;185.608,02;;19,36;;6.657,81;292.448,92;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;833.352,26;15,00;;680.828,09;28,65;229,30;;82.028,59;1.596.481,89;
8;ACTIVOS FINANCIEROS;;4.163,97;;;;;;;4.163,97;
82; Concesión de préstamos al Sector Público;;4.163,97;;;;;;;4.163,97;
9;PASIVOS FINANCIEROS;;;;;450,00;;1.177,64;;1.627,64;
91; Amortización de préstamos en euros;;;;;450,00;;1.177,64;;1.627,64;
;TOTAL;1.588.980,27;4.222,97;58.587,99;866.436,11;478,65;248,66;2.671,95;88.686,40;2.610.313,00;
;;



