Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.149.739,50;2.149.739.500,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;889.434,07;889.434.070,00
3;GASTOS FINANCIEROS;3.917,33;3.917.330,00
4;TRANSFERENCIAS CORRIENTES;724.496,72;724.496.720,00
—;TOTAL OPERACIONES CORRIENTES;3.767.587,62;3.767.587.620,00
6;INVERSIONES REALES;720.382,78;720.382.780,00
7;TRANSFERENCIAS DE CAPITAL;5.285.351,89;5.285.351.890,00
—;TOTAL OPERACIONES DE CAPITAL;6.005.734,67;6.005.734.670,00
—;TOTAL OPERACIONES NO FINANCIERAS;9.773.322,29;9.773.322.290,00
8;ACTIVOS FINANCIEROS;2.189,45;2.189.450,00
—;TOTAL Capítulos 1–8;9.775.511,74;9.775.511.740,00
9;PASIVOS FINANCIEROS;1.177,64;1.177.640,00
—;TOTAL Capítulo 9;1.177,64;1.177.640,00
—;TOTAL PRESUPUESTO;9.776.689,38;9.776.689.380,00
4;TRANSFERENCIAS CORRIENTES;–26.640,21;–26.640.210,00
7;TRANSFERENCIAS DE CAPITAL;–88.686,40;–88.686.400,00
—;TOTAL Capítulos 1–8;–115.326,61;–115.326.610,00
9;PASIVOS FINANCIEROS;–1.177,64;–1.177.640,00
—;TOTAL Capítulo 9;–1.177,64;–1.177.640,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–116.504,25;–116.504.250,00
;TOTAL CONSOLIDADO;9.660.185,13;9.660.185.130,00
