Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.03;10;Altos cargos;80,3;80.300,00
29.03;11;Personal eventual;253,2;253.200,00
29.03;12;Funcionarios;985,04;985.040,00
29.03;13;Laborales;51,32;51.320,00
29.03;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;341,24;341.240,00
29.03;16000;Seguridad Social;341,24;341.240,00
29.03;22;Material, suministros y otros;186,8;186.800,00
29.03;22601;Atenciones protocolarias y representativas;11,8;11.800,00
29.03;23;Indemnizaciones por razón del servicio;74,53;74.530,00
29.03;76;A Entidades Locales;1.093,00;1.093.000,00
29.03;760;Para actuaciones de acción social;1.093,00;1.093.000,00
29.03;76000;Ajuntament de Térmens – centro rural para mayores;843;843.000,00
29.03;76001;EMD Bótem – casal de jubilados;250;250.000,00
29.05;10;Altos cargos;61,04;61.040,00
29.05;12;Funcionarios;2.461,61;2.461.610,00
29.05;13;Laborales;256,72;256.720,00
29.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;493,91;493.910,00
29.05;16000;Seguridad Social;493,91;493.910,00
29.05;22;Material, suministros y otros;875,35;875.350,00
29.05;22601;Atenciones protocolarias y representativas;2,4;2.400,00
29.05;23;Indemnizaciones por razón del servicio;31,94;31.940,00
29.05;44;A Fundaciones del Sector Público Estatal;105;105.000,00
29.05;440;Fundación Víctimas del Terrorismo;105;105.000,00
29.05;45;A Comunidades Autónomas;320.440,07;320.440.070,00
29.05;453;Programas de servicios sociales;204.704,00;204.704.000,00
29.05;454;Actividades de interés social con cargo al 0,7% IRPF;85.661,07;85.661.070,00
29.05;455;Canarias – lucha contra la pobreza;30.000,00;30.000.000,00
29.05;458;Congreso Estatal del Voluntariado;75;75.000,00
29.05;46;A Entidades Locales;26;26.000,00
29.05;460;Medidas de acompañamiento FEAD;26;26.000,00
29.05;48;A familias e instituciones sin fines de lucro;108.367,37;108.367.370,00
29.05;481–486;Transferencias a ONG, fundaciones, plataformas sociales;11.918,14;11.918.140,00
29.05;489;Programa Operativo FEAD;101.409,00;101.409.000,00
29.05;76;A Entidades Locales – inversiones sociales;7.000,00;7.000.000,00
29.05;761;Ayuntamiento de la Seu d’Urgell – pisos para mayores;3.000,00;3.000.000,00
29.05;762;Ayuntamiento de Baztán – reforma residencia ancianos;4.000,00;4.000.000,00
29.06;10;Altos cargos;61,04;61.040,00
29.06;12;Funcionarios;1.529,63;1.529.630,00
29.06;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;339,84;339.840,00
29.06;16000;Seguridad Social;339,84;339.840,00
29.06;22;Material, suministros y otros;396,37;396.370,00
29.06;22601;Atenciones protocolarias y representativas;2,4;2.400,00
29.06;23;Indemnizaciones por razón del servicio;22,13;22.130,00
29.06;48;A familias e instituciones sin fines de lucro;5.420,00;5.420.000,00
29.06;481;CNSE – atención a personas sordas;798;798.000,00
29.06;48200;CNSE – estructura central;245;245.000,00
29.06;48201;CERMI – estructura central y entidades asociadas;331;331.000,00
29.06;48202;FESPAU – autismo;129;129.000,00
29.06;48203;Autismo España;143;143.000,00
29.06;48204;FIAPAS – familias de personas sordas;245;245.000,00
29.06;48205;Salud Mental España;200;200.000,00
29.06;48206;ASPACE – parálisis cerebral;205;205.000,00
29.06;48207;Plena Inclusión España;485;485.000,00
29.06;48208;COCEMFE y entidades asociadas;1.186,00;1.186.000,00
29.06;48209;Down España;132;132.000,00
29.06;48210;AICE – implantados cocleares;45;45.000,00
29.06;48211;FASOCIDE – personas sordociegas;80;80.000,00
29.06;48212;Federación Española de Daño Cerebral;125;125.000,00
29.06;48213;FEDER – enfermedades raras y entidades asociadas;330;330.000,00
29.06;48214;FESOCE – sordoceguera;29;29.000,00
29.06;48215;Asociación Esclerosis Múltiple España;50;50.000,00
29.06;48217;PREDIF – discapacidad física;124;124.000,00
29.06;48218;ASPAYM – lesión medular;130;130.000,00
29.06;48219;ECOM – discapacidad física;79;79.000,00
29.06;48220;COAMIFICOA – discapacidad física;51;51.000,00
29.06;48221;APASCIDE – familias de personas sordociegas;50;50.000,00
29.06;48222;adEla – esclerosis lateral amiotrófica;153;153.000,00
29.06;48223;Sedis Airam – sección social;25;25.000,00
29.06;48224;Fundación Nou Xamfrà – discapacidad intelectual;50;50.000,00
29.102;15;Incentivos al rendimiento;72,21;72.210,00
29.102;150;Productividad;67,98;67.980,00
29.102;151;Gratificaciones;4,23;4.230,00
