Orgánica;Económica;Explicación;Total (K€);Total (€)
29.101;1;GASTOS DE PERSONAL;10.990,30;10.990.300,00
29.101;12;Funcionarios;6.962,52;6.962.520,00
29.101;13;Laborales;1.108,73;1.108.730,00
29.101;15;Incentivos al rendimiento;836,98;836.980,00
29.101;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.082,07;2.082.070,00
29.101;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.350,37;5.350.370,00
29.101;20;Arrendamientos y cánones;65,35;65.350,00
29.101;21;Reparaciones, mantenimiento y conservación;726,47;726.470,00
29.101;22;Material, suministros y otros;4.282,02;4.282.020,00
29.101;23;Indemnizaciones por razón del servicio;235,53;235.530,00
29.101;24;Gastos de publicaciones;41;41.000,00
29.101;3;GASTOS FINANCIEROS;5;5.000,00
29.101;35;Intereses de demora y otros gastos financieros;5;5.000,00
29.101;6;INVERSIONES REALES;3.168,72;3.168.720,00
29.101;62;Inversión nueva asociada al funcionamiento operativo;972,21;972.210,00
29.101;63;Inversión de reposición asociada al funcionamiento operativo;1.996,51;1.996.510,00
29.101;64;Gastos de inversiones de carácter inmaterial;200;200.000,00
29.101;8;ACTIVOS FINANCIEROS;30;30.000,00
29.101;83;Concesión de préstamos fuera del Sector Público;30;30.000,00
;;29.101;19.544,39;19.544.390,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
