Orgánica;Económica;Explicación;Total (K€);Total (€)
29.01;1;GASTOS DE PERSONAL;17.581,07;17.581.070,00
29.02;1;GASTOS DE PERSONAL;2.069,02;2.069.020,00
—;10;Altos cargos;269,6;269.600,00
—;11;Personal eventual;517,75;517.750,00
—;12;Funcionarios;11.286,35;11.286.350,00
—;13;Laborales;2.177,35;2.177.350,00
—;15;Incentivos al rendimiento;3.041,11;3.041.110,00
—;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.357,93;2.357.930,00
29.01;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.728,74;7.728.740,00
29.02;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;210,95;210.950,00
—;20;Arrendamientos y cánones;1.042,30;1.042.300,00
—;21;Reparaciones, mantenimiento y conservación;465,86;465.860,00
—;22;Material, suministros y otros;5.995,03;5.995.030,00
—;23;Indemnizaciones por razón del servicio;415,41;415.410,00
—;24;Gastos de publicaciones;21,09;21.090,00
29.02;4;TRANSFERENCIAS CORRIENTES;11,3;11.300,00
—;49;Al exterior – organismos y programas internacionales;11,3;11.300,00
29.01;6;INVERSIONES REALES;1.942,00;1.942.000,00
—;62;Inversión nueva asociada al funcionamiento operativo;469,96;469.960,00
—;63;Inversión de reposición asociada al funcionamiento operativo;1.072,04;1.072.040,00
—;64;Gastos de inversiones de carácter inmaterial;400;400.000,00
29.01;8;ACTIVOS FINANCIEROS;42,88;42.880,00
—;83;Concesión de préstamos fuera del Sector Público;42,88;42.880,00
;;29.01;27.294,69;27.294.690,00
;;29.02;2.291,27;2.291.270,00
;;Total;29.585,96;29.585.960,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
