Económica;Explicación;Orgánica 29.07 (K€);Total (€)
1;GASTOS DE PERSONAL;1.790,53;1.790.530,00
10;Altos cargos;141,34;141.340,00
12;Funcionarios;1.033,97;1.033.970,00
13;Laborales;236,39;236.390,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;378,83;378.830,00
16000;Seguridad Social;378,83;378.830,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.454,44;3.454.440,00
22;Material, suministros y otros;3.234,44;3.234.440,00
22601;Atenciones protocolarias y representativas;14,2;14.200,00
23;Indemnizaciones por razón del servicio;220;220.000,00
4;TRANSFERENCIAS CORRIENTES;19.400,00;19.400.000,00
46;A Entidades Locales;6.600,00;6.600.000,00
460;Impulso de la Agenda 2030 en Entidades Locales;6.600,00;6.600.000,00
48;A familias e instituciones sin fines de lucro;10.800,00;10.800.000,00
480;Subvenciones a Sociedad Civil – implementación Agenda 2030;10.000,00;10.000.000,00
481;Reconocimiento de aplicación de la Agenda 2030;200;200.000,00
483;FEMP – fortalecimiento de la Red de Entidades Locales;600;600.000,00
49;Al exterior;2.000,00;2.000.000,00
492;Contribución voluntaria al Fondo ONU para los ODS;2.000,00;2.000.000,00
;29.07;24.644,97;24.644.970,00
