Orgánica;Económica;Explicación;Total (€);Total (K€)
29.05;12;Funcionarios;530.920;530,92
29.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;190.080;190,08
29.05;16000;Seguridad Social;190.080;190,08
;;TOTAL GASTOS DE PERSONAL;721.000;721
29.05;22;Material, suministros y otros;1.261.690;1.261,69
29.05;23;Indemnizaciones por razón del servicio;46.360;46,36
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.308.050;1.308,05
29.05;48;A familias e instituciones sin fines de lucro;1.083.930;1.083,93
29.05;483;Para programas de infancia y familias;1.016.430;1.016,43
29.05;48300;Asociación de Familias y Mujeres del Medio Rural;70.000;70
29.05;48301;Unión de Asociaciones Familiares (incluye Isadora Duncan, Madres Solteras);430.000;430
29.05;48303;Confederación Española de Padres y Madres de Alumnos;80.190;80,19
29.05;48304;Confederación Católica Nacional de Padres de Familia;54.000;54
29.05;48305;Federación Española de Familias Numerosas;287.240;287,24
29.05;48306;Federación Nacional de Puntos de Encuentro;40.000;40
29.05;48307;The Family Watch;55.000;55
29.05;485;Federación Española de Municipios y Provincias;60.000;60
29.05;48504;FEMP – medidas de apoyo a la parentalidad positiva;60.000;60,00
29.05;487;Fundación Másfamilia – Certificado de empresa familiarmente responsable;7.500;7,5
;;TOTAL TRANSFERENCIAS CORRIENTES;1.083.930;1.083,93
 ; ;Total General Programa 231G;3.112.980;3.112,98
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
