;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 921Y Agenda 2030;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;29.07;;Total;
1;GASTOS DE PERSONAL;1.790,53;;1.790,53;
10; Altos cargos;141,34;;141,34;
12; Funcionarios;1.033,97;;1.033,97;
13; Laborales;236,39;;236,39;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;378,83;;378,83;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.454,44;;3.454,44;
22; Material, suministros y otros;3.234,44;;3.234,44;
23; Indemnizaciones por razón del servicio;220,00;;220,00;
4;TRANSFERENCIAS CORRIENTES;19.400,00;;19.400,00;
46; A Entidades Locales;6.600,00;;6.600,00;
48; A familias e instituciones sin fines de lucro;10.800,00;;10.800,00;
49; Al exterior;2.000,00;;2.000,00;
;TOTAL;24.644,97;;24.644,97;
;;



