Económica;Explicación;29.05 (K€);Total (K€);Total (€)
1;GASTOS DE PERSONAL;721;721;721.000,00
12;Funcionarios;530,92;530,92;530.920,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;190,08;190,08;190.080,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.308,05;1.308,05;1.308.050,00
22;Material, suministros y otros;1.261,69;1.261,69;1.261.690,00
23;Indemnizaciones por razón del servicio;46,36;46,36;46.360,00
4;TRANSFERENCIAS CORRIENTES;1.083,93;1.083,93;1.083.930,00
48;A familias e instituciones sin fines de lucro;1.083,93;1.083,93;1.083.930,00
—;TOTAL PROGRAMA 231G;3.112,98;3.112,98;3.112.980,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
