Económica;Explicación;29.01;29.02;29.08;Total (K€);Total (€)
1;GASTOS DE PERSONAL;845,94;158,4;386,09;1.390,43;1.390.430,00
10;Altos cargos;;;71,16;71,16;71.160,00
12;Funcionarios;845,94;158,4;244,9;1.249,24;1.249.240,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;;70,03;70,03;70.030,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.400,13;69;934,68;2.403,81;2.403.810,00
21;Reparaciones, mantenimiento y conservación;37;;;37;37.000,00
22;Material, suministros y otros;1.211,93;21;874,68;2.107,61;2.107.610,00
23;Indemnizaciones por razón del servicio;151,2;13;60;224,2;224.200,00
24;Gastos de publicaciones;;35;;35;35.000,00
6;INVERSIONES REALES;90;;;90;90.000,00
62;Inversión nueva asociada al funcionamiento operativo;90;;;90;90.000,00
8;ACTIVOS FINANCIEROS;50;;;50;50.000,00
83;Concesión de préstamos fuera del Sector Público;50;;;50;50.000,00
;;;;29.01;2.386,07;2.386.070,00
;;;;29.02;227,4;227.400,00
;;;;29.08;1.320,77;1.320.770,00
;;;;Total;3.934,24;3.934.240,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
