Económica;Explicación;16.03 ;16.04 ;16.103;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;68.514,35;69.733,80;922,1;139.170,25;139.170.250,00 €
10;Altos cargos;—;61,03;—;61,03;61.030,00 €
12;Funcionarios;53.349,20;59.266,35;714,61;113.330,16;113.330.160,00 €
13;Laborales;1.281,92;—;—;1.281,92;1.281.920,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;13.883,23;10.467,45;146,46;24.497,14;24.497.140,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;12.822,40;20.385,84;2.827,90;36.036,14;36.036.140,00 €
21;Reparaciones, mantenimiento y conservación;355,01;1.029,00;24;1.408,01;1.408.010,00 €
22;Material, suministros y otros;2.097,39;8.256,84;2.719,90;13.074,13;13.074.130,00 €
23;Indemnizaciones por razón del servicio;10.370,00;11.100,00;84;21.554,00;21.554.000,00 €
4;TRANSFERENCIAS CORRIENTES;—;3.420,75;—;3.420,75;3.420.750,00 €
44;A entidades del Sector Público Estatal;—;3.420,75;—;3.420,75;3.420.750,00 €
6;INVERSIONES REALES;—;—;250;250;250.000,00 €
62;Inversión nueva operativa;—;—;250;250;250.000,00 €
7;TRANSFERENCIAS DE CAPITAL;—;31,53;—;31,53;31.530,00 €
74;A entidades del Sector Público Estatal;—;31,53;—;31,53;31.530,00 €
—;TOTAL PROGRAMA 131N;81.336,75;93.571,92;4.000,00;178.908,67;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
