Económica;Explicación;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;400.993,39;400.993.390,00 €
10;Altos cargos;407,2;407.200,00 €
11;Personal eventual;577,33;577.330,00 €
12;Funcionarios;384.809,00;384.809.000,00 €
13;Laborales;3.333,56;3.333.560,00 €
15;Incentivos al rendimiento;8.442,94;8.442.940,00 €
150;Productividad;8.242,48;8.242.480,00 €
151;Gratificaciones;200,46;200.460,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.423,36;3.423.360,00 €
16000;Seguridad Social;2.453,77;2.453.770,00 €
16200;Formación y perfeccionamiento del personal;177,66;177.660,00 €
16204;Acción social;623,83;623.830,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;18.880,76;18.880.760,00 €
20;Arrendamientos y cánones;1.163,39;1.163.390,00 €
202;Arrendamientos de edificios y otras construcciones;1.157,68;1.157.680,00 €
21;Reparaciones, mantenimiento y conservación;2.047,03;2.047.030,00 €
22;Material, suministros y otros;14.851,52;14.851.520,00 €
22109;Labores Fábrica Nacional Moneda y Timbre;11,5;11.500,00 €
22502;Locales;82,16;82.160,00 €
22601;Atenciones protocolarias y representativas;165,97;165.970,00 €
22608;Gastos reservados;7.374,61;7.374.610,00 €
22611;Gastos protocolarios por actos institucionales;66,47;66.470,00 €
23;Indemnizaciones por razón del servicio;590,14;590.140,00 €
24;Gastos de publicaciones;228,68;228.680,00 €
3;GASTOS FINANCIEROS;2,37;2.370,00 €
35;Intereses de demora y otros gastos financieros;2,37;2.370,00 €
352;Intereses de demora;2,37;2.370,00 €
4;TRANSFERENCIAS CORRIENTES;18.102,70;18.102.700,00 €
44;A entidades del Sector Público Estatal;2.035,00;2.035.000,00 €
440;Fundación Víctimas del Terrorismo;335;335.000,00 €
441;Fundación Centro Memoria Víctimas del Terrorismo;1.700,00;1.700.000,00 €
48;A familias e instituciones sin fines de lucro;16.067,70;16.067.700,00 €
480;Subvenciones a entidades de víctimas del terrorismo;1.000,00;1.000.000,00 €
483;Indemnizaciones por Ley 29/2011 y RD 671/2013;13.592,70;13.592.700,00 €
487;Indemnizaciones por Ley 40/2015 y Ley 52/1984;1.475,00;1.475.000,00 €
6;INVERSIONES REALES;4.482,38;4.482.380,00 €
8;ACTIVOS FINANCIEROS;121,95;121.950,00 €
83;Concesión de préstamos fuera del Sector Público;121,95;121.950,00 €
830;Préstamos a corto plazo;121,95;121.950,00 €
—;TOTAL PROGRAMA 131M;—;442.583.550,00 €
