;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 132C Actuaciones policiales en materia de droga;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.02;16.03;16.04;;;Total;
1;GASTOS DE PERSONAL;3.866,07;71.183,01;29.705,47;;;104.754,55;
12; Funcionarios;3.633,74;66.919,77;29.705,47;;;100.258,98;
13; Laborales;128,55;;;;;128,55;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;103,78;4.263,24;;;;4.367,02;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.206,18;368,89;509,00;;;2.084,07;
21; Reparaciones, mantenimiento y conservación;182,13;;15,00;;;197,13;
22; Material, suministros y otros;932,10;1,16;292,00;;;1.225,26;
23; Indemnizaciones por razón del servicio;91,95;367,73;202,00;;;661,68;
6;INVERSIONES REALES;780,27;750,00;100,00;;;1.630,27;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;689,27;750,00;100,00;;;1.539,27;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;91,00;;;;;91,00;
;TOTAL;5.852,52;72.301,90;30.314,47;;;108.468,89;
;;



