Orgánica;Económica;Explicación;Total (miles €);Total (€)
16.03;—;DIRECCIÓN GENERAL DE LA POLICÍA;81.336,75;81.336.750,00 €
;1;GASTOS DE PERSONAL;68.514,35;68.514.350,00 €
;12;Funcionarios;53.349,20;53.349.200,00 €
;13;Laborales;1.281,92;1.281.920,00 €
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;13.883,23;13.883.230,00 €
;16000;Seguridad Social;11.283,23;11.283.230,00 €
;16200;Formación y perfeccionamiento del personal;2.600,00;2.600.000,00 €
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;12.822,40;12.822.400,00 €
;21;Reparaciones, mantenimiento y conservación;355,01;355.010,00 €
;22;Material, suministros y otros;2.097,39;2.097.390,00 €
;22502;Locales;2,5;2.500,00 €
;23;Indemnizaciones por razón del servicio;10.370,00;10.370.000,00 €
16.04;—;DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;93.571,92;93.571.920,00 €
;1;GASTOS DE PERSONAL;69.733,80;69.733.800,00 €
;12;Funcionarios;59.266,35;59.266.350,00 €
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;10.467,45;10.467.450,00 €
;16000;Seguridad Social;5.213,48;5.213.480,00 €
;16200;Formación y perfeccionamiento del personal;5.253,97;5.253.970,00 €
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.385,84;20.385.840,00 €
;21;Reparaciones, mantenimiento y conservación;1.029,00;1.029.000,00 €
;22;Material, suministros y otros;8.256,84;8.256.840,00 €
;22502;Locales;45;45.000,00 €
;22611;Gastos protocolarios actos institucionales;42,84;42.840,00 €
;23;Indemnizaciones por razón del servicio;11.100,00;11.100.000,00 €
;4;TRANSFERENCIAS CORRIENTES;3.420,75;3.420.750,00 €
;44;A entidades del Sector Público Estatal;3.420,75;3.420.750,00 €
;442;Al Centro Universitario de la Guardia Civil;2.539,98;2.539.980,00 €
;443;Al Centro Universitario de la Defensa (Zaragoza);880,77;880.770,00 €
;7;TRANSFERENCIAS DE CAPITAL;31,53;31.530,00 €
;74;A entidades del Sector Público Estatal;31,53;31.530,00 €
;742;Al Centro Universitario de la Guardia Civil;25;25.000,00 €
;743;Al Centro Universitario de la Defensa (Zaragoza);6,53;6.530,00 €
16.103;—;CENTRO UNIVERSITARIO DE FORMACIÓN DE LA POLICÍA NACIONAL;4.000,00;4.000.000,00 €
;1;GASTOS DE PERSONAL;922,1;922.100,00 €
;16000;Seguridad Social;146,46;146.460,00 €
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.827,90;2.827.900,00 €
;6;INVERSIONES REALES;250;250.000,00 €
—;—;TOTAL PROGRAMA 131N;178.908,67;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
