;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 924M Elecciones y Partidos Políticos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.01;;Total;
1;GASTOS DE PERSONAL;1.229,25;;1.229,25;
12; Funcionarios;1.121,07;;1.121,07;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;108,18;;108,18;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;347.115,00;;347.115,00;
21; Reparaciones, mantenimiento y conservación;15,00;;15,00;
22; Material, suministros y otros;347.100,00;;347.100,00;
4;TRANSFERENCIAS CORRIENTES;111.473,73;;111.473,73;
48; A familias e instituciones sin fines de lucro;111.473,73;;111.473,73;
6;INVERSIONES REALES;1.750,00;;1.750,00;
64; Gastos de inversiones de carácter inmaterial;1.750,00;;1.750,00;
;TOTAL;461.567,98;;461.567,98;
;;



