Orgánica;Económica;Explicación;Total (miles €);Total (€)
16.01;1;GASTOS DE PERSONAL;9.830,33;9.830.330,00 €
;12;Funcionarios;7.986,12;7.986.120,00 €
;13;Laborales;179,84;179.840,00 €
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.664,37;1.664.370,00 €
;16000;Seguridad Social;1.664,37;1.664.370,00 €
16.01;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.981,30;5.981.300,00 €
;21;Reparaciones, mantenimiento y conservación;860,5;860.500,00 €
;22;Material, suministros y otros;4.989,80;4.989.800,00 €
;23;Indemnizaciones por razón del servicio;131;131.000,00 €
16.01;4;TRANSFERENCIAS CORRIENTES;290,85;290.850,00 €
;49;Al exterior;290,85;290.850,00 €
;490;Contribuciones al ACNUR;290,85;290.850,00 €
16.01;6;INVERSIONES REALES;100;100.000,00 €
—;—;TOTAL PROGRAMA 131P;16.202,48;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
