 Económico;Explicación;Importe (miles €);Importe (€)
1;GASTOS DE PERSONAL;530.803,08;530.803.080,00 €
10;Altos cargos;64,01;64.010,00 €
12;Funcionarios;451.618,16;451.618.160,00 €
13;Laborales;8.750,48;8.750.480,00 €
15;Incentivos al rendimiento;53.459,94;53.459.940,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;16.910,49;16.910.490,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;196.404,61;196.404.610,00 €
20;Arrendamientos y cánones;1.750,00;1.750.000,00 €
21;Reparaciones, mantenimiento y conservación;52.930,80;52.930.800,00 €
22;Material, suministros y otros;137.847,81;137.847.810,00 €
23;Indemnizaciones por razón del servicio;3.776,00;3.776.000,00 €
24;Gastos de publicaciones;100;100.000,00 €
3;GASTOS FINANCIEROS;52,89;52.890,00 €
35;Intereses de demora y otros gastos financieros;52,89;52.890,00 €
4;TRANSFERENCIAS CORRIENTES;671,9;671.900,00 €
48;A familias e instituciones sin fines de lucro;550;550.000,00 €
49;Al exterior;121,9;121.900,00 €
6;INVERSIONES REALES;115.161,31;115.161.310,00 €
60;Inversión nueva en infraestructuras y bienes de uso general;15.987,39;15.987.390,00 €
61;Reposición en infraestructuras y bienes de uso general;45.878,28;45.878.280,00 €
62;Inversión nueva asociada al funcionamiento operativo;13.174,29;13.174.290,00 €
63;Reposición asociada al funcionamiento operativo;25.329,37;25.329.370,00 €
64;Gastos de inversiones de carácter inmaterial;14.791,98;14.791.980,00 €
8;ACTIVOS FINANCIEROS;598,31;598.310,00 €
83;Concesión de préstamos fuera del Sector Público;598,31;598.310,00 €
—;TOTAL PROGRAMA 132B – SEGURIDAD VIAL;843.692,10;843.692.100,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
