Órgano;Capítulo Económico;Explicación;Importe (miles €);Importe (€)
16.101;15;Incentivos al rendimiento;53.459,94;53.459.940,00 €
16.101;150;Productividad;50.031,39;50.031.390,00 €
16.101;151;Gratificaciones;3.428,55;3.428.550,00 €
16.101;16000;Seguridad Social;14.145,32;14.145.320,00 €
16.101;16200;Formación y perfeccionamiento del personal;406,52;406.520,00 €
16.101;16204;Acción social;572;572.000,00 €
16.101;—;Total Gastos de Personal;530.803,08;530.803.080,00 €
16.101;202;Arrendamientos de edificios y otras construcciones;1.700,00;1.700.000,00 €
16.101;22109;Labores Fábrica Nacional de Moneda y Timbre;14.500,00;14.500.000,00 €
16.101;22502;Locales;2.000,00;2.000.000,00 €
16.101;22601;Atenciones protocolarias y representativas;3;3.000,00 €
16.101;—;Total Gastos Corrientes en Bienes y Servicios;196.404,61;196.404.610,00 €
16.101;35 / 352;Intereses de demora y otros gastos financieros;52,89;52.890,00 €
16.101;—;Total Gastos Financieros;52,89;52.890,00 €
16.101;48 / 488;Ayudas a asociaciones de víctimas de tráfico;550;550.000,00 €
16.101;49 / 491;Cuotas a organismos internacionales;121,9;121.900,00 €
16.101;—;Total Transferencias Corrientes;671,9;671.900,00 €
16.101;6;Inversiones reales;115.161,31;115.161.310,00 €
16.101;830;Préstamos a corto plazo;92,83;92.830,00 €
16.101;831;Préstamos a largo plazo;505,48;505.480,00 €
16.101;—;Total Activos Financieros;598,31;598.310,00 €
—;—;TOTAL PROGRAMA 132B – SEGURIDAD VIAL;843.692,10;843.692.100,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
