;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 131M Dirección y Servicios Generales de Seguridad y Protección Civil;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.01;;Total;
1;GASTOS DE PERSONAL;400.993,39;;400.993,39;
10; Altos cargos;407,20;;407,20;
11; Personal eventual;577,33;;577,33;
12; Funcionarios;384.809,00;;384.809,00;
13; Laborales;3.333,56;;3.333,56;
15; Incentivos al rendimiento;8.442,94;;8.442,94;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.423,36;;3.423,36;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;18.880,76;;18.880,76;
20; Arrendamientos y cánones;1.163,39;;1.163,39;
21; Reparaciones, mantenimiento y conservación;2.047,03;;2.047,03;
22; Material, suministros y otros;14.851,52;;14.851,52;
23; Indemnizaciones por razón del servicio;590,14;;590,14;
24; Gastos de publicaciones;228,68;;228,68;
3;GASTOS FINANCIEROS;2,37;;2,37;
35; Intereses de demora y otros gastos financieros;2,37;;2,37;
4;TRANSFERENCIAS CORRIENTES;18.102,70;;18.102,70;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;2.035,00;;2.035,00;
48; A familias e instituciones sin fines de lucro;16.067,70;;16.067,70;
6;INVERSIONES REALES;4.482,38;;4.482,38;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;13,35;;13,35;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;4.469,03;;4.469,03;
8;ACTIVOS FINANCIEROS;121,95;;121,95;
83; Concesión de préstamos fuera del Sector Público;121,95;;121,95;
;TOTAL;442.583,55;;442.583,55;
;;



