;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 06 DEUDA PÚBLICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;BONOS, OBLIGACIONES Y OTRAS DEUDAS;;;
v;;951M;;Amortización y gastos financieros de la deuda pública en euros;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;30;De deuda pública en euros;;29.210.853,96;
v;;;300;Intereses;;27.951.772,64;
;;;30001; Obligaciones del Estado al 6,00%. Emisión 15.01.1998/31.01.2029;1.530.452,00;;
;;;30002; Obligaciones del Estado al 5,75%. Emisión 23.01.2001/30.07.2032;1.399.542,00;;
;;;30003; Obligaciones del Estado al 4,20%. Emisión 17.01.2005/31.01.2037;934.231,00;;
;;;30004; Obligaciones del Estado al 4,90%. Emisión 20.06.2007/30.07.2040;944.153,12;;
;;;30006; Obligaciones del Estado al 4,80%. Emisión 16.09.2008/31.01.2024;843.106,00;;
;;;30009; Obligaciones del Estado al 4,70%. Emisión 28.09.2009/30.07.2041;1.009.426,38;;
;;;30011; Obligaciones del Estado al 4,65%. Emisión 24.02.2010/30.07.2025;1.065.004,00;;
;;;30014; Obligaciones del Estado al 5,90%. Emisión 15.03.2011/30.07.2026;1.382.060,00;;
;;;30015; Notas al 5,60%. Emisión 06.05.2011/06.05.2036;18.760,00;;
;;;30018; Obligaciones del Estado al 5,40%. Emisión 29.01.2013/31.01.2023;1.170.000,00;;
;;;30019; Obligaciones del Estado al 4,40%. Emisión 21.05.2013/31.10.2023;927.221,00;;
;;;30021; Obligaciones del Estado al 5,15%. Emisión 16.07.2013/31.10.2028;966.607,00;;
;;;30022; Obligaciones del Estado al 5,15%. Emisión 16.10.2013/31.10.2044;779.894,53;;
;;;30024; Obligaciones del Estado al 3,80%. Emisión 29.01.2014/30.04.2024;805.062,00;;
;;;30025; Obligaciones del Estado €i al 1,80%. Emisión 20.05.2014/30.11.2024;284.923,00;;
;;;30026; Obligaciones del Estado al 2,75%. Emisión 20.06.2014/31.10.2024;666.207,00;;
;;;30028; Obligaciones del Estado al 4,00%. Emisión 08.09.2014/31.10.2064;40.000,00;;
;;;30030; Obligaciones del Estado al 1,60%. Emisión 27.01.2015/30.04.2025;347.946,00;;
;;;30031; Obligaciones del Estado al 1,95%. Emisión 04.03.2015/30.07.2030;448.251,00;;
;;;30032; Obligaciones del Estado €i al 1,00%. Emisión 31.03.2015/30.11.2030;175.791,00;;
;;;30034; Obligaciones del Estado al 2,15%. Emisión 09.06.2015/31.10.2025;534.866,00;;
;;;30036; Obligaciones del Estado al 1,95%. Emisión 19.01.2016/30.04.2026;419.005,00;;
;;;30039; Obligaciones del Estado al 2,90%. Emisión 15.03.2016/31.10.2046;537.238,00;;
;;;30041; Obligaciones del Estado al 3,45%. Emisión 18.05.2016/30.07.2066;513.760,62;;
