Servicio;Programa;Económica;Explicación;Total (miles €);Total (euros)
1;951M;3;GASTOS FINANCIEROS;29.210.853,96;29.210.853.960,00
1;951M;30;De deuda pública en euros;29.210.853,96;29.210.853.960,00
1;951M;300;Intereses;27.951.772,64;27.951.772.640,00
1;951M;303;Rendimientos implícitos;1.259.081,32;1.259.081.320,00
1;951M;9;PASIVOS FINANCIEROS;90.986.637,89;90.986.637.890,00
1;951M;90;Amortización de deuda pública en euros;90.986.637,89;90.986.637.890,00
1;951M;901;Amortización de deuda pública en euros a largo plazo;90.986.637,89;90.986.637.890,00
—;—;—;TOTAL Amortización y gastos financieros de la deuda pública en euros;120.197.491,85;120.197.491.850,00
1;951N;3;GASTOS FINANCIEROS;38.300,00;38.300.000,00
1;951N;32;De deuda pública en moneda extranjera;38.300,00;38.300.000,00
1;951N;320;Intereses;38.300,00;38.300.000,00
1;951N;32000;Intereses de Emisiones de Bonos en Dólares;17.200,00;17.200.000,00
1;951N;32003;Intereses de Emisiones de Bonos en Yenes Japoneses;5.500,00;5.500.000,00
1;951N;32005;Intereses de Emisiones de Bonos en Libras Esterlinas;15.500,00;15.500.000,00
1;951N;32008;Intereses de emisiones no incluidas anteriormente (autorización legal);100;100.000,00
—;—;—;TOTAL Amortización y gastos financieros de la deuda pública en moneda extranjera;38.300,00;38.300.000,00
—;—;—;TOTAL BONOS, OBLIGACIONES Y OTRAS DEUDAS;120.235.791,85;120.235.791.850,00
2;951M;3;GASTOS FINANCIEROS;627.264,96;627.264.960,00
2;951M;31;De préstamos en euros;627.264,96;627.264.960,00
2;951M;310;Intereses;627.164,96;627.164.960,00
2;951M;319;Otros gastos financieros;100;100.000,00
2;951M;9;PASIVOS FINANCIEROS;4.091.430,14;4.091.430.140,00
2;951M;91;Amortización de préstamos en euros;4.091.430,14;4.091.430.140,00
2;951M;913;Amortización de préstamos a largo plazo de entes fuera del Sector Público;4.091.430,14;4.091.430.140,00
—;—;—;TOTAL Amortización y gastos financieros de la deuda pública en euros;4.718.695,10;4.718.695.100,00
2;951N;3;GASTOS FINANCIEROS;10.250,00;10.250.000,00
2;951N;33;De préstamos en moneda extranjera;10.250,00;10.250.000,00
2;951N;330;Intereses;10.100,00;10.100.000,00
2;951N;339;Otros gastos financieros;150;150.000,00
—;—;—;TOTAL Amortización y gastos financieros de la deuda pública en moneda extranjera;10.250,00;10.250.000,00
—;—;—;TOTAL PRÉSTAMOS;4.728.945,10;4.728.945.100,00
3;951M;3;GASTOS FINANCIEROS;1.100.000,00;1.100.000.000,00
3;951M;30;De deuda pública en euros;1.100.000,00;1.100.000.000,00
3;951M;300;Intereses;1.100.000,00;1.100.000.000,00
3;951M;9;PASIVOS FINANCIEROS;1.000,00;1.000.000,00
3;951M;90;Amortización de deuda pública en euros;1.000,00;1.000.000,00
—;—;—;TOTAL LETRAS DEL TESORO;1.101.000,00;1.101.000.000,00
4;951M;3;GASTOS FINANCIEROS;93.422,17;93.422.170,00
4;951M;30;De deuda pública en euros;15.975,74;15.975.740,00
4;951M;31;De préstamos en euros;77.446,43;77.446.430,00
4;951M;9;PASIVOS FINANCIEROS;2.442.643,98;2.442.643.980,00
4;951M;91;Amortización de préstamos en euros;2.442.643,98;2.442.643.980,00
—;—;—;TOTAL DEUDAS ASUMIDAS;2.536.066,15;2.536.066.150,00
5;951M;3;GASTOS FINANCIEROS;185.001,00;185.001.000,00
5;951M;30;De deuda pública en euros;155.000,00;155.000.000,00
5;951M;31;De préstamos en euros;30.000,00;30.000.000,00
5;951M;35;Intereses de demora y otros gastos financieros;1;1.000,00
5;951M;9;PASIVOS FINANCIEROS;25;25.000,00
—;—;—;TOTAL OBLIGACIONES DIVERSAS (euros);185.026,00;185.026.000,00
5;951N;3;GASTOS FINANCIEROS;10.012,00;10.012.000,00
5;951N;32;De deuda pública en moneda extranjera;10.000,00;10.000.000,00
5;951N;33;De préstamos en moneda extranjera;6;6.000,00
5;951N;35;Intereses de demora y otros gastos financieros;6;6.000,00
—;—;—;TOTAL OBLIGACIONES DIVERSAS (moneda extranjera);10.012,00;10.012.000,00
—;—;—;TOTAL OBLIGACIONES DIVERSAS (global);195.038,00;195.038.000,00
—;—;—;TOTAL DEUDA PÚBLICA;128.796.841,10;128.796.841.100,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
