;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 241B Formación Profesional para el Empleo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;19.101;;Total;
1;GASTOS DE PERSONAL;16.912,58;;16.912,58;
12; Funcionarios;10.685,99;;10.685,99;
13; Laborales;1.747,22;;1.747,22;
14; Otro personal;49,88;;49,88;
15; Incentivos al rendimiento;2.042,77;;2.042,77;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.386,72;;2.386,72;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.958,12;;14.958,12;
20; Arrendamientos y cánones;1.602,38;;1.602,38;
21; Reparaciones, mantenimiento y conservación;1.142,45;;1.142,45;
22; Material, suministros y otros;12.153,67;;12.153,67;
23; Indemnizaciones por razón del servicio;56,41;;56,41;
24; Gastos de publicaciones;3,21;;3,21;
4;TRANSFERENCIAS CORRIENTES;2.092.702,83;;2.092.702,83;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;56.774,17;;56.774,17;
45; A Comunidades Autónomas;1.078.722,20;;1.078.722,20;
48; A familias e instituciones sin fines de lucro;957.206,46;;957.206,46;
6;INVERSIONES REALES;978,89;;978,89;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;978,89;;978,89;
7;TRANSFERENCIAS DE CAPITAL;678,89;;678,89;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;678,89;;678,89;
8;ACTIVOS FINANCIEROS;79,40;;79,40;
83; Concesión de préstamos fuera del Sector Público;79,40;;79,40;
;TOTAL;2.126.310,71;;2.126.310,71;
;;



