;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 241A Fomento de la inserción y estabilidad laboral;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;19.101;;Total;
1;GASTOS DE PERSONAL;23.736,20;;23.736,20;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;15.063,86;;15.063,86;
13; Laborales;2.145,04;;2.145,04;
15; Incentivos al rendimiento;2.918,25;;2.918,25;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.548,01;;3.548,01;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.163,52;;24.163,52;
20; Arrendamientos y cánones;2.305,72;;2.305,72;
21; Reparaciones, mantenimiento y conservación;2.768,26;;2.768,26;
22; Material, suministros y otros;18.727,18;;18.727,18;
23; Indemnizaciones por razón del servicio;361,97;;361,97;
24; Gastos de publicaciones;0,39;;0,39;
3;GASTOS FINANCIEROS;160,56;;160,56;
35; Intereses de demora y otros gastos financieros;160,56;;160,56;
4;TRANSFERENCIAS CORRIENTES;4.069.193,94;;4.069.193,94;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;57,05;;57,05;
45; A Comunidades Autónomas;1.652.800,25;;1.652.800,25;
46; A Entidades Locales;293.784,76;;293.784,76;
47; A empresas privadas;2.249,45;;2.249,45;
48; A familias e instituciones sin fines de lucro;2.119.900,43;;2.119.900,43;
49; Al exterior;402,00;;402,00;
6;INVERSIONES REALES;3.610,92;;3.610,92;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.420,92;;1.420,92;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.190,00;;2.190,00;
8;ACTIVOS FINANCIEROS;79,40;;79,40;
83; Concesión de préstamos fuera del Sector Público;79,40;;79,40;
;TOTAL;4.120.944,54;;4.120.944,54;
;;



