Económica;Explicación;Total (miles  euros);Total (euros)
1;Gastos de personal;1.718,10;1.718.100,00
10;Altos cargos;61,04;61.040,00
12;Funcionarios;1.427,06;1.427.060,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;230;230.000,00
2;Gastos corrientes en bienes y servicios;150;150.000,00
22;Material, suministros y otros;150;150.000,00
4;Transferencias corrientes;7.943,38;7.943.380,00
44;A entidades del Sector Público Estatal;50;50.000,00
47;A empresas privadas;9,6;9.600,00
48;A familias e instituciones sin fines de lucro;7.883,78;7.883.780,00
—;TOTAL PROGRAMA 241N;9.811,48;9.811.480,00
