;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 251M Prestaciones a los desempleados;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;19.101;;Total;
1;GASTOS DE PERSONAL;330.739,95;;330.739,95;
12; Funcionarios;215.851,68;;215.851,68;
13; Laborales;42.298,58;;42.298,58;
15; Incentivos al rendimiento;22.266,77;;22.266,77;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;50.322,92;;50.322,92;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;37.809,83;;37.809,83;
20; Arrendamientos y cánones;3.373,91;;3.373,91;
21; Reparaciones, mantenimiento y conservación;3.550,29;;3.550,29;
22; Material, suministros y otros;28.468,73;;28.468,73;
23; Indemnizaciones por razón del servicio;2.416,49;;2.416,49;
24; Gastos de publicaciones;0,41;;0,41;
3;GASTOS FINANCIEROS;79,20;;79,20;
35; Intereses de demora y otros gastos financieros;79,20;;79,20;
4;TRANSFERENCIAS CORRIENTES;20.901.431,19;;20.901.431,19;
48; A familias e instituciones sin fines de lucro;20.901.431,19;;20.901.431,19;
6;INVERSIONES REALES;7.324,51;;7.324,51;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.276,88;;1.276,88;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;6.047,63;;6.047,63;
8;ACTIVOS FINANCIEROS;635,20;;635,20;
83; Concesión de préstamos fuera del Sector Público;635,20;;635,20;
;TOTAL;21.278.019,88;;21.278.019,88;
;;



