Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
19.01;10;Altos cargos;345,7;345.700,00
19.01;11;Personal eventual;798,26;798.260,00
19.01;12;Funcionarios;27.983,18;27.983.180,00
19.01;13;Laborales;10.476,24;10.476.240,00
19.01;15;Incentivos al rendimiento;3.381,84;3.381.840,00
19.01;150;Productividad;3.143,49;3.143.490,00
19.01;151;Gratificaciones;238,35;238.350,00
19.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.273,37;5.273.370,00
19.01;16000;Seguridad Social;4.011,35;4.011.350,00
19.01;16200;Formación y perfeccionamiento del personal;124,58;124.580,00
19.01;16204;Acción social;240,81;240.810,00
—;—;TOTAL GASTOS DE PERSONAL;48.258,59;48.258.590,00
19.01;20;Arrendamientos y cánones;3.332,06;3.332.060,00
19.01;202;Arrendamientos de edificios y otras construcciones;1.100,90;1.100.900,00
19.01;207;Arrendamientos de edificios PSA;1.823,19;1.823.190,00
19.01;21;Reparaciones, mantenimiento y conservación;2.492,64;2.492.640,00
19.01;22;Material, suministros y otros;20.183,18;20.183.180,00
19.01;22502;Locales;5.750,00;5.750.000,00
19.01;22601;Atenciones protocolarias y representativas;71,65;71.650,00
19.01;23;Indemnizaciones por razón del servicio;1.451,13;1.451.130,00
19.01;24;Gastos de publicaciones;180,45;180.450,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.639,46;27.639.460,00
19.01;35;Intereses de demora y otros gastos financieros;43,66;43.660,00
19.01;352;Intereses de demora;4,66;4.660,00
19.01;359;Otros gastos financieros;39;39.000,00
—;—;TOTAL GASTOS FINANCIEROS;43,66;43.660,00
19.01;48;A familias e instituciones sin fines de lucro;21.099,29;21.099.290,00
19.01;480;A los participantes en órganos consultivos y consejos;4.099,29;4.099.290,00
19.01;489;Financiación y compensaciones económicas;17.000,00;17.000.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;21.099,29;21.099.290,00
19.01;627;Patrimonio Sindical Acumulado;2.200,00;2.200.000,00
19.01;637;Patrimonio Sindical Acumulado;12.059,12;12.059.120,00
—;—;TOTAL INVERSIONES REALES;17.401,09;17.401.090,00
19.01;83;Concesión de préstamos fuera del Sector Público;19,97;19.970,00
19.01;831;Préstamos a largo plazo;19,97;19.970,00
19.01;84;Constitución de depósitos y fianzas;45;45.000,00
19.01;841;Fianzas;45;45.000,00
—;—;TOTAL ACTIVOS FINANCIEROS;64,97;64.970,00
—;—;TOTAL MINISTERIO Y SUBSECRETARÍA;114.507,06;114.507.060,00
19.03;10;Altos cargos;80,3;80.300,00
19.03;11;Personal eventual;253,32;253.320,00
19.03;12;Funcionarios;3.585,17;3.585.170,00
19.03;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;476,89;476.890,00
19.03;16000;Seguridad Social;476,89;476.890,00
—;—;TOTAL SECRETARÍA DE ESTADO DE TRABAJO;4.395,68;4.395.680,00
