Económica;Explicación;Total (miles  euros);Total (euros)
1;Gastos de personal;4.414,06;4.414.060,00
16000;Seguridad Social;887,65;887.650,00
16200;Formación y perfeccionamiento del personal;14,86;14.860,00
16204;Acción social;10,11;10.110,00
2;Gastos corrientes en bienes y servicios;2.017,82;2.017.820,00
22502;Locales;48;48.000,00
22601;Atenciones protocolarias y representativas;71,17;71.170,00
4;Transferencias corrientes;1.512,45;1.512.450,00
48;A familias e instituciones sin fines de lucro;1.512,45;1.512.450,00
484;Compensación por participación en órganos consultivos;697,65;697.650,00
485;Compensaciones por actividades del Consejo;697,2;697.200,00
486;Premios y becas convocados por el Consejo;117,6;117.600,00
6;Inversiones reales;1.249,97;1.249.970,00
8;Activos financieros;26,55;26.550,00
83;Concesión de préstamos fuera del Sector Público;26,55;26.550,00
830;Préstamos a corto plazo;13,28;13.280,00
831;Préstamos a largo plazo;13,27;13.270,00
—;TOTAL PROGRAMA 912P – Asesoramiento del Gobierno;9.220,85;9.220.850,00
