;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;19.01;19.03;19.101;19.102;;Total;
4;TRANSFERENCIAS CORRIENTES;7.383,13;314.258,25;237.203,98;53,23;;558.898,59;
40; A la Administración del Estado;;;144.717,24;53,23;;144.770,47;
41; A Organismos Autónomos;;308.258,25;89.656,95;;;397.915,20;
42; A la Seguridad Social;;6.000,00;132,50;;;6.132,50;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;7.383,13;;2.697,29;;;10.080,42;
7;TRANSFERENCIAS DE CAPITAL;41,94;5.292,09;;;;5.334,03;
71; A Organismos Autónomos;;5.292,09;;;;5.292,09;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;41,94;;;;;41,94;
;TOTAL;7.425,07;319.550,34;237.203,98;53,23;;564.232,62;
;;



