;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulo 9;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Capítulo: 9 PASIVOS FINANCIEROS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
132A; Seguridad ciudadana;4,87;4,87;
;TOTAL CONSOLIDADO;4,87;4,87;
;TOTAL;4,87;4,87;
;;



