Clasif. por programas;Explicación;ESTADO (miles €);OO.AA. (miles €);Total (miles €);Total (€)
131M;Dirección y Servicios Generales de Seguridad y Protección Civil;442.583,55;—;442.583,55;442.583.550,00 €
131N;Formación de Fuerzas y Cuerpos de Seguridad del Estado;174.908,67;4.000,00;178.908,67;178.908.670,00 €
131O;Fuerzas y Cuerpos en reserva;304.720,15;—;304.720,15;304.720.150,00 €
131P;Derecho de asilo y apátridas;16.202,48;—;16.202,48;16.202.480,00 €
132A;Seguridad ciudadana;7.401.637,56;15.365,74;7.417.003,30;7.417.003.300,00 €
132B;Seguridad vial;—;843.692,10;843.692,10;843.692.100,00 €
132C;Actuaciones policiales en materia de droga;108.468,89;—;108.468,89;108.468.890,00 €
133A;Centros e Instituciones Penitenciarias;1.326.257,79;—;1.326.257,79;1.326.257.790,00 €
134M;Protección Civil;16.749,71;—;16.749,71;16.749.710,00 €
924M;Elecciones y Partidos Políticos;461.567,98;—;461.567,98;461.567.980,00 €
TOTAL CONSOLIDADO;—;10.253.096,78;863.057,84;11.116.154,62;11.116.154.620,00 €
000X;Transferencias y libramientos internos;6.146,30;136.154,92;142.301,22;142.301.220,00 €
TOTAL TRANSFERENCIAS;—;6.146,30;136.154,92;142.301,22;142.301.220,00 €
TOTAL GENERAL;—;10.259.243,08;999.212,76;11.258.455,84;11.258.455.840,00 €
