Económica;Explicación;13.01;13.02;13.03;13.04;13.05;13.06;13.07;13.08;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;107.279,54;1.323.862,38;15.837,12;38.600,57;10.956,78;289.145,05;54.415,24;39.827,67;1.879.924,35;1.879.924.350,00
10;Altos cargos;410,88;12.416,77;61,04;193,2;1.890,53;3.015,96;1.721,57;604,19;20.314,14;20.314.140,00
11;Personal eventual;813,13;—;—;—;—;—;19.946,68;1.336,79;22.096,60;22.096.600,00
12;Funcionarios;94.309,05;1.179.592,09;14.122,24;31.757,45;8.205,08;270.087,83;13.210,96;27.246,65;1.638.531,35;1.638.531.350,00
13;Laborales;3.009,14;16.382,98;—;189,19;153,35;—;5.676,83;2.571,18;27.982,67;27.982.670,00
14;Otro personal;—;13.759,47;—;157,18;—;—;—;—;13.916,65;13.916.650,00
15;Incentivos al rendimiento;5.914,55;547,44;—;3.728,40;—;324,17;6.817,71;4.644,39;21.976,66;21.976.660,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.822,79;101.163,63;1.653,84;2.575,15;707,82;15.717,09;7.041,49;3.424,47;135.106,28;135.106.280,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.593,80;122.850,44;3.993,59;3.948,25;396;—;73.839,80;8.120,72;227.742,60;227.742.600,00
20;Arrendamientos y cánones;2.012,13;11.156,15;—;1.236,71;—;—;221,70;42,8;14.669,49;14.669.490,00
21;Reparaciones, mantenimiento y conservación;1.482,42;15.544,46;172,87;246,82;33,84;—;2.286,81;949,43;20.716,65;20.716.650,00
22;Material, suministros y otros;10.337,71;93.130,96;3.729,72;2.196,47;109,16;—;65.700,82;6.250,45;181.455,29;181.455.290,00
23;Indemnizaciones por razón del servicio;626,54;3.018,87;91;268,25;201;—;5.480,47;738,04;10.424,17;10.424.170,00
24;Gastos de publicaciones;135;—;—;—;52;—;—;140;327;327.000,00
25;Conciertos de asistencia sanitaria;—;—;—;—;—;—;150;—;150;150.000,00
3;GASTOS FINANCIEROS;15;625,77;15;—;—;—;—;—;655,77;655.770,00
35;Intereses de demora y otros gastos financieros;15;625,77;15;—;—;—;—;—;655,77;655.770,00
4;TRANSFERENCIAS CORRIENTES;241,83;56.338,53;—;—;—;298,32;—;3.890,31;60.768,99;60.768.990,00
6;INVERSIONES REALES;12.747,54;154.720,44;16.823,30;2.088,41;3.757,05;—;5.404,64;5.789,63;201.331,01;201.331.010,00
8;ACTIVOS FINANCIEROS;63,63;536,00;—;20,28;—;—;—;72,12;692,03;692.030,00
—;TOTAL CONSOLIDADO;134.941,34;1.658.933,56;36.669,01;44.657,51;15.109,83;289.145,05;133.958,00;57.700,45;2.371.114,75;2.371.114.750,00
—;TRANSFERENCIAS ENTRE SUBSECTORES;—;17.491,74;—;—;—;—;—;100.669,46;118.161,20;118.161.200,00
—;TOTAL;134.941,34;1.676.425,30;36.669,01;44.657,51;15.109,83;289.145,05;133.958,00;158.369,91;2.489.275,95;2.489.275.950,00
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
