Económica;Explicación;Total;Total (euros)
1; GASTOS DE PERSONAL;20.487.290,20;20.487.290.200 €
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.934.150,65;4.934.150.650 €
3; GASTOS FINANCIEROS;31.329.770,86;31.329.770.860 €
4; TRANSFERENCIAS CORRIENTES;142.185.635,89;142.185.635.890 €
;TOTAL OPERACIONES CORRIENTES;198.936.847,60;198.936.847.600 €
5; FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;3.964.420,00;3.964.420.000 €
;TOTAL FONDO DE CONTINGENCIA;3.964.420,00;3.964.420.000 €
6; INVERSIONES REALES;11.079.852,79;11.079.852.790 €
7; TRANSFERENCIAS DE CAPITAL;29.183.902,64;29.183.902.640 €
;TOTAL OPERACIONES DE CAPITAL;40.263.755,43;40.263.755.430 €
;TOTAL OPERACIONES NO FINANCIERAS;243.165.023,03;243.165.023.030 €
8; ACTIVOS FINANCIEROS;40.135.454,61;40.135.454.610 €
;TOTAL Capítulos 1-8;283.300.477,64;283.300.477.640 €
9; PASIVOS FINANCIEROS;97.521.932,88;97.521.932.880 €
;TOTAL Capítulo 9;97.521.932,88;97.521.932.880 €
;TOTAL PRESUPUESTO;380.822.410,52;380.822.410.520 €
4; TRANSFERENCIAS CORRIENTES;-43.791.306,91;-43.791.306.910 €
7; TRANSFERENCIAS DE CAPITAL;-6.510.093,24;-6.510.093.240 €
8; ACTIVOS FINANCIEROS;-10.007.970,12;-10.007.970.120 €
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-60.309.370,27;-60.309.370.270 €
;TOTAL CONSOLIDADO;320.513.040,25;320.513.040.250 €
