;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;14.532,81;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;17.212,68;
4; TRANSFERENCIAS CORRIENTES;434.042,47;
;TOTAL OPERACIONES CORRIENTES;465.787,96;
6; INVERSIONES REALES;26.753,74;
7; TRANSFERENCIAS DE CAPITAL;10.365,00;
;TOTAL OPERACIONES DE CAPITAL;37.118,74;
;TOTAL OPERACIONES NO FINANCIERAS;502.906,70;
8; ACTIVOS FINANCIEROS;25,00;
;TOTAL PRESUPUESTO;502.931,70;
4; TRANSFERENCIAS CORRIENTES;-18.542,45;
7; TRANSFERENCIAS DE CAPITAL;-365,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-18.907,45;
;TOTAL CONSOLIDADO;484.024,25;
;;



